scenario,phase,wall_time,ir_raw,red_raw,ir_mean,red_mean,ac_dc_ratio,peak_to_peak,bpm,spo2_est,amb_t,contact_status,contact_label,contact_conf,signal_present,contact_warmed_up,anomaly_score,anomaly_threshold,is_anomaly,anomaly_persisting_s,severity,temp_context
normal,baseline,1774761745.193,130242,108381,131000,109000,0.0288,3777.7,72,85.5,24.5,GOOD,good_contact,0.93,YES,YES,0.03553,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761745.293,133821,111243,131000,109000,0.0295,3866.5,72,86.1,24.5,GOOD,good_contact,0.93,YES,YES,0.02099,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761745.393,134122,111637,131000,109000,0.0294,3846.5,72,84.6,24.5,GOOD,good_contact,0.93,YES,YES,0.04245,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761745.493,131714,109493,131000,109000,0.0279,3652.3,72,89.3,24.5,GOOD,good_contact,0.93,YES,YES,0.00978,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761745.593,130297,108481,131000,109000,0.0291,3808.3,72,87.8,24.5,GOOD,good_contact,0.93,YES,YES,0.02341,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761745.693,130810,108637,131000,109000,0.0285,3737.5,72,70,24.5,GOOD,good_contact,0.93,YES,YES,0.03236,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761745.793,130104,108092,131000,109000,0.0296,3875.3,72,79.6,24.5,GOOD,good_contact,0.93,YES,YES,0.02872,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761745.893,128335,106569,131000,109000,0.0299,3913.7,72,82.6,24.5,GOOD,good_contact,0.93,YES,YES,0.00228,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761745.993,128628,107417,131000,109000,0.0276,3616.8,72,90.0,24.5,GOOD,good_contact,0.93,YES,YES,0.03814,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761746.093,132967,110425,131000,109000,0.0303,3969.5,72,88.2,24.5,GOOD,good_contact,0.93,YES,YES,0.00997,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761746.193,134525,111916,131000,109000,0.0292,3822.9,72,85.1,24.5,GOOD,good_contact,0.93,YES,YES,0.03728,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761746.293,132627,110273,131000,109000,0.03,3930.0,72,86.5,24.5,GOOD,good_contact,0.93,YES,YES,0.03218,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761746.393,130270,108440,131000,109000,0.0283,3706.0,72,87.0,24.5,GOOD,good_contact,0.93,YES,YES,0.03249,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761746.493,130493,108807,131000,109000,0.0278,3636.1,72,98.5,24.5,GOOD,good_contact,0.93,YES,YES,0.00852,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761746.593,130583,108640,131000,109000,0.0298,3901.1,72,84.1,24.5,GOOD,good_contact,0.93,YES,YES,0.03754,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761746.693,128922,107031,131000,109000,0.0268,3515.4,72,81.5,24.5,GOOD,good_contact,0.93,YES,YES,0.01702,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761746.793,128575,106714,131000,109000,0.0291,3806.7,72,81.7,24.5,GOOD,good_contact,0.93,YES,YES,0.0288,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761746.893,131508,109532,131000,109000,0.0299,3916.2,72,78.5,24.5,GOOD,good_contact,0.93,YES,YES,0.05982,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761746.993,134566,111808,131000,109000,0.0281,3687.6,72,86.3,24.5,GOOD,good_contact,0.93,YES,YES,0.01253,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761747.093,133617,110968,131000,109000,0.0289,3785.9,72,87.4,24.5,GOOD,good_contact,0.93,YES,YES,0.03624,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761747.193,130702,108849,131000,109000,0.0262,3431.7,72,94.7,24.5,GOOD,good_contact,0.93,YES,YES,0.00876,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761747.293,130227,108486,131000,109000,0.0308,4038.7,72,90.0,24.5,GOOD,good_contact,0.93,YES,YES,0.02472,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761747.393,130742,108756,131000,109000,0.0307,4016.9,72,81.6,24.5,GOOD,good_contact,0.93,YES,YES,0.0384,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761747.493,129335,107492,131000,109000,0.0304,3980.7,72,82.8,24.5,GOOD,good_contact,0.93,YES,YES,0.03072,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761747.593,128308,106559,131000,109000,0.032,4190.6,72,82.8,24.5,GOOD,good_contact,0.93,YES,YES,0.01962,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761747.693,130590,108404,131000,109000,0.0282,3696.7,72,70,24.5,GOOD,good_contact,0.93,YES,YES,0.00807,-0.05826,NO,,NORMAL,STABLE
normal,baseline,1774761747.793,133816,111476,131000,109000,0.0303,3963.3,72,83.6,24.5,GOOD,good_contact,0.93,YES,YES,0.03533,-0.05826,NO,,NORMAL,STABLE
