timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773929054.9181,1237,873,0.0,0.0,30.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,finger_off
1773929055.2707,1257,869,0.004592,4.0,30.1,,,0.0,2.0,-11.344373,0.002296,2.0,0.0,0.0,0.0,1.0,1.0,0.002296,finger_off
1773929055.2907,1242,876,0.008021,7.0,30.1,,,0.0,2.867442,-0.576617,0.003286,2.867442,0.0,0.0,0.0,1.0,1.0,0.004202,finger_off
1773929055.3108,1255,871,0.008025,7.0,30.1,,,0.0,2.58602,-2.28061,0.003292,2.872281,0.0,0.0,0.0,1.0,1.0,0.005159,finger_off
1773929055.3309,1240,879,0.011447,10.0,30.1,,,0.0,3.555278,4.030715,0.003872,3.382307,0.0,0.0,0.0,1.0,1.0,0.00641,finger_off
1773929055.3509,1246,859,0.022958,20.0,30.1,,,0.0,6.335526,-8.00464,0.007106,6.191392,0.0,0.0,0.0,1.0,1.0,0.009183,finger_off
1773929055.371,1249,871,0.022958,20.0,30.1,,,0.0,5.865847,-7.386189,0.008158,7.105617,0.0,0.0,0.0,1.0,1.0,0.011151,finger_off
1773929055.391,1259,868,0.022969,20.0,30.1,,,0.0,5.584577,-8.919241,0.008575,7.466592,0.0,0.0,0.0,1.0,1.0,0.012633,finger_off
1773929055.4111,1239,871,0.022968,20.0,30.1,,,0.0,5.265776,-7.968815,0.008714,7.586538,0.0,0.0,0.0,1.0,1.0,0.013781,finger_off
1773929055.4312,1252,874,0.022959,20.0,30.1,,,0.0,5.088222,-5.203153,0.008714,7.586831,0.0,0.0,0.0,1.0,1.0,0.014694,finger_off
1773929055.4512,1258,870,0.022962,20.0,30.1,,,0.0,4.861724,-5.42098,0.008642,7.524066,0.0,0.0,0.0,1.0,1.0,0.015447,finger_off
1773929055.4713,1247,865,0.022975,20.0,30.1,,,0.0,4.941322,-8.501454,0.008532,7.427427,0.0,0.0,0.0,1.0,1.0,0.016083,finger_off
1773929055.4913,1245,875,0.022966,20.0,30.1,,,0.0,4.896563,-5.161599,0.008401,7.312954,0.0,0.0,0.0,1.0,1.0,0.016606,finger_off
1773929055.5114,1239,882,0.026387,23.0,30.1,,,0.0,5.524066,1.427946,0.008479,7.382066,0.0,0.0,0.0,1.0,1.0,0.017291,finger_off
1773929055.5314,1253,857,0.028714,25.0,30.1,,,0.0,6.46701,-6.400748,0.008672,7.54954,0.0,0.0,0.0,1.0,1.0,0.01807,finger_off
1773929055.5515,1242,862,0.028732,25.0,30.1,,,0.0,6.603739,-10.170723,0.008785,7.646231,0.0,0.0,0.0,1.0,1.0,0.018747,finger_off
1773929055.5716,1231,874,0.028724,25.0,30.1,,,0.0,6.471123,-7.376158,0.008841,7.694423,0.0,0.0,0.0,1.0,1.0,0.01933,finger_off
1773929055.5916,1236,873,0.028719,25.0,30.1,,,0.0,6.317964,-5.488633,0.008858,7.708621,0.0,0.0,0.0,1.0,1.0,0.019848,finger_off
1773929055.6117,1253,869,0.028722,25.0,30.1,,,0.0,6.158569,-5.64243,0.008847,7.698617,0.0,0.0,0.0,1.0,1.0,0.020317,finger_off
1773929055.6317,1252,862,0.028736,25.0,30.1,,,0.0,6.276942,-8.625828,0.008817,7.671212,0.0,0.0,0.0,1.0,1.0,0.020747,finger_off
1773929055.6518,1243,857,0.028756,25.0,30.1,,,0.0,6.722218,-12.981593,0.008772,7.63124,0.0,0.0,0.0,1.0,1.0,0.021143,finger_off
1773929055.6718,1248,870,0.028755,25.0,30.1,,,0.0,6.568929,-11.598186,0.008717,7.582194,0.0,0.0,0.0,1.0,1.0,0.021488,finger_off
1773929055.6919,1234,888,0.035623,31.0,30.1,,,0.0,7.459785,-3.956847,0.009002,7.829468,0.0,0.0,0.0,1.0,1.0,0.022083,finger_off
