timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773800721.0922,58016,57839,0.0,0.0,27.4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,good_contact
1773800721.4449,74271,74232,0.248245,16393.0,27.4,,,0.0,8196.5,46487.047515,0.124123,8196.5,0.0,0.0,0.0,0.0,0.0,0.124123,good_contact
1773800721.4649,90672,90638,0.441819,32799.0,27.4,,,0.0,13390.13603,69536.486083,0.180831,13390.13603,0.0,0.0,0.0,0.0,0.0,0.22088,good_contact
1773800721.485,107002,107107,0.597521,49268.0,27.4,,,0.0,18359.246812,93666.122933,0.223267,18359.246812,0.0,0.0,0.0,0.0,0.0,0.29853,good_contact
1773800721.5051,118108,123569,0.724881,65730.0,27.4,,,0.0,23240.492052,119277.310805,0.256636,23240.492052,0.0,0.0,0.0,0.0,0.0,0.362143,good_contact
1773800721.5251,118460,138212,0.815146,80373.0,27.4,,,0.0,27639.2913,145096.657755,0.280241,27639.2913,0.0,0.0,0.0,0.0,0.0,0.413395,good_contact
1773800721.5452,118412,138495,0.773316,80656.0,27.4,,,0.0,29149.503203,161064.566876,0.280156,29149.503203,0.0,0.0,0.0,0.0,0.0,0.445449,good_contact
1773800721.5652,118462,138509,0.742988,80670.0,27.4,,,0.0,29520.96056,170565.986746,0.272746,29520.96056,0.0,0.0,0.0,0.0,0.0,0.467291,good_contact
1773800721.5853,118418,138552,0.721258,80713.0,27.4,,,0.0,29383.790015,175556.947734,0.26318,29383.790015,0.0,0.0,0.0,0.0,0.0,0.483146,good_contact
1773800721.6054,118448,138546,0.704487,80713.0,27.4,,89.38,0.0,28998.948272,177187.250892,0.253267,28999.444399,0.0,0.0,0.0,0.0,0.0,0.495169,good_contact
1773800721.6254,118434,138595,0.691677,80756.0,27.4,,89.26,0.0,28498.998735,176313.533625,0.243722,28499.415871,0.0,0.0,0.0,0.0,0.0,0.504613,good_contact
1773800721.6455,118486,138599,0.681091,80760.0,27.4,,89.15,0.0,27945.720067,173517.642311,0.234778,27946.077442,0.0,0.0,0.0,0.0,0.0,0.512218,good_contact
1773800721.6655,118457,138640,0.672681,80801.0,27.4,,89.07,0.0,27376.597978,169308.124231,0.226511,27376.908699,0.0,0.0,0.0,0.0,0.0,0.518485,good_contact
1773800721.6856,118504,138641,0.66536,80802.0,27.4,,88.99,0.0,26808.597291,164052.459622,0.218896,26808.870781,0.0,0.0,0.0,0.0,0.0,0.523731,good_contact
1773800721.7056,118453,138671,0.65937,80832.0,27.4,,88.93,0.0,26253.753783,158088.151438,0.211897,26253.996934,0.0,0.0,0.0,0.0,0.0,0.528194,good_contact
1773800721.7257,118495,138666,0.65401,80832.0,27.4,,88.87,0.0,25716.226976,151654.686784,0.205453,25716.628212,0.0,0.0,0.0,0.0,0.0,0.532031,good_contact
1773800721.7458,118459,138714,0.649683,80875.0,27.4,,88.84,0.0,25200.774172,144987.010616,0.199515,25201.136695,0.0,0.0,0.0,0.0,0.0,0.535375,good_contact
1773800721.7658,118500,138686,0.645591,80875.0,27.4,,88.79,0.0,24705.869164,138208.576252,0.194026,24707.044191,0.0,0.0,0.0,0.0,0.0,0.538313,good_contact
1773800721.7859,118468,138754,0.642272,80915.0,27.4,,88.76,0.0,24234.616362,131490.951127,0.188941,24235.691104,0.0,0.0,0.0,0.0,0.0,0.540912,good_contact
1773800721.8059,118513,138746,0.639035,80915.0,27.4,,88.73,0.0,23784.218245,124889.495107,0.184217,23785.410215,0.0,0.0,0.0,0.0,0.0,0.543229,good_contact
1773800721.826,118492,138784,0.636361,80945.0,27.4,,88.7,0.0,23355.110639,118492.099652,0.179818,23356.211208,0.0,0.0,0.0,0.0,0.0,0.545308,good_contact
1773800721.846,118514,138798,0.633844,80959.0,27.4,,88.68,0.0,22945.676631,112333.933775,0.175709,22946.696843,0.0,0.0,0.0,0.0,0.0,0.547184,good_contact
1773800721.8661,118500,138820,0.631631,80981.0,27.4,,88.66,0.0,22555.048682,106448.104973,0.171863,22555.997748,0.0,0.0,0.0,0.0,0.0,0.548886,good_contact
1773800721.8862,118503,138802,0.629464,80981.0,27.4,,88.63,0.0,22181.379157,100837.822844,0.168254,22182.608487,0.0,0.0,0.0,0.0,0.0,0.550439,good_contact
1773800721.9062,118468,138768,0.627491,80981.0,27.4,,88.61,0.0,21823.466982,95508.175234,0.16486,21825.546069,0.0,0.0,0.0,0.0,0.0,0.551864,good_contact
1773800721.9263,118464,138668,0.625698,80981.0,27.4,,88.59,0.0,21479.366135,90442.488414,0.161661,21483.853844,0.0,0.0,0.0,0.0,0.0,0.553188,good_contact
1773800721.9463,118407,138618,0.624056,80981.0,27.4,,88.58,0.0,21149.225475,85657.387312,0.15864,21156.615718,0.0,0.0,0.0,0.0,0.0,0.554415,good_contact
1773800721.9664,118399,138512,0.622558,80981.0,27.4,,88.56,0.0,20831.459462,81131.291334,0.155781,20842.963711,0.0,0.0,0.0,0.0,0.0,0.555565,good_contact
1773800721.9865,118348,138463,0.621177,80981.0,27.4,,88.55,0.0,20526.246639,76873.438532,0.153072,20542.081294,0.0,0.0,0.0,0.0,0.0,0.556638,good_contact
1773800722.0065,118342,138354,0.619911,80981.0,27.4,,88.53,0.0,20232.105231,72857.311597,0.150499,20253.204024,0.0,0.0,0.0,0.0,0.0,0.55765,good_contact
