timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773893204.2822,57918,57906,0.0,0.0,25.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,good_contact
1773893204.6365,74225,74092,0.245246,16186.0,25.5,,,0.0,8093.0,45674.425542,0.122623,8093.0,0.0,0.0,0.0,0.0,0.0,0.122623,good_contact
1773893204.6566,90597,90725,0.44206,32819.0,25.5,,,0.0,13398.714889,68966.980788,0.180831,13398.714889,0.0,0.0,0.0,0.0,0.0,0.220027,good_contact
1773893204.6767,107146,107023,0.595816,49117.0,25.5,,,0.0,18334.198408,92921.605214,0.223024,18334.198408,0.0,0.0,0.0,0.0,0.0,0.297568,good_contact
1773893204.6967,123389,123491,0.723518,65585.0,25.5,,,0.0,23207.537143,118388.317359,0.256405,23207.537143,0.0,0.0,0.0,0.0,0.0,0.361195,good_contact
1773893204.7168,124427,139783,0.828407,81877.0,25.5,,,0.0,28002.5938,145383.4226,0.283053,28002.5938,0.0,0.0,0.0,0.0,0.0,0.414124,good_contact
1773893204.7368,124436,145092,0.826842,87186.0,25.5,,,0.0,30563.228564,165861.995083,0.289909,30563.228564,0.0,0.0,0.0,0.0,0.0,0.450839,good_contact
1773893204.7569,124448,145123,0.789978,87217.0,25.5,,,0.0,31457.028356,178644.841802,0.285184,31457.028356,0.0,0.0,0.0,0.0,0.0,0.47551,good_contact
1773893204.7769,124437,145119,0.76331,87217.0,25.5,,,0.0,31600.917139,186016.160713,0.276619,31601.351149,0.0,0.0,0.0,0.0,0.0,0.493219,good_contact
1773893204.797,124446,145114,0.743241,87217.0,25.5,,89.19,0.0,31375.544093,189384.540589,0.266984,31376.694757,0.0,0.0,0.0,0.0,0.0,0.506551,good_contact
1773893204.8171,124460,145135,0.727678,87229.0,25.5,,89.04,0.0,30963.663719,189730.524057,0.257365,30964.627279,0.0,0.0,0.0,0.0,0.0,0.516949,good_contact
1773893204.8371,124452,145132,0.715121,87229.0,25.5,,88.92,0.0,30456.365195,187755.436133,0.248186,30457.378359,0.0,0.0,0.0,0.0,0.0,0.525286,good_contact
1773893204.8572,124448,145144,0.704897,87238.0,25.5,,88.82,0.0,29905.578948,184034.317799,0.239603,29906.458067,0.0,0.0,0.0,0.0,0.0,0.53212,good_contact
1773893204.8772,124450,145166,0.69647,87260.0,25.5,,88.75,0.0,29340.31551,179028.956812,0.23165,29341.088008,0.0,0.0,0.0,0.0,0.0,0.537829,good_contact
1773893204.8973,124461,145163,0.689182,87260.0,25.5,,88.67,0.0,28775.689276,173097.255315,0.224302,28776.504233,0.0,0.0,0.0,0.0,0.0,0.542667,good_contact
1773893204.9173,124441,145179,0.683025,87273.0,25.5,,88.61,0.0,28222.029366,166553.35051,0.21752,28222.759557,0.0,0.0,0.0,0.0,0.0,0.546819,good_contact
1773893204.9374,124462,145186,0.677648,87280.0,25.5,,88.56,0.0,27684.211553,159635.541854,0.211254,27684.870795,0.0,0.0,0.0,0.0,0.0,0.550422,good_contact
1773893204.9575,124454,145189,0.672914,87283.0,25.5,,88.51,0.0,27164.91915,152535.081587,0.205454,27165.51829,0.0,0.0,0.0,0.0,0.0,0.553578,good_contact
1773893204.9775,124444,145181,0.668716,87283.0,25.5,,88.47,0.0,26665.150403,145396.989617,0.200075,26665.929598,0.0,0.0,0.0,0.0,0.0,0.556366,good_contact
1773893204.9976,124447,145207,0.665112,87301.0,25.5,,88.44,0.0,26186.26045,138350.143097,0.195075,26186.976376,0.0,0.0,0.0,0.0,0.0,0.558847,good_contact
1773893205.0176,124462,145213,0.661807,87307.0,25.5,,88.4,0.0,25727.404893,131468.028696,0.190416,25728.06568,0.0,0.0,0.0,0.0,0.0,0.561069,good_contact
1773893205.0377,124446,145200,0.658794,87307.0,25.5,,88.37,0.0,25287.597403,124802.914547,0.186064,25288.506113,0.0,0.0,0.0,0.0,0.0,0.563072,good_contact
1773893205.0578,124458,145196,0.656066,87307.0,25.5,,88.35,0.0,24866.369914,118399.603697,0.181989,24867.575731,0.0,0.0,0.0,0.0,0.0,0.564885,good_contact
1773893205.0778,124448,145224,0.653663,87318.0,25.5,,88.32,0.0,24463.535762,112294.419628,0.178166,24464.661235,0.0,0.0,0.0,0.0,0.0,0.566533,good_contact
1773893205.0979,124449,145220,0.651393,87318.0,25.5,,88.3,0.0,24077.509277,106488.566134,0.17457,24078.637214,0.0,0.0,0.0,0.0,0.0,0.568039,good_contact
1773893205.1179,124450,145238,0.649412,87332.0,25.5,,88.28,0.0,23707.80368,100993.821449,0.171182,23708.862563,0.0,0.0,0.0,0.0,0.0,0.569421,good_contact
