timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773800629.5153,57944,58060,0.0,0.0,27.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,good_contact
1773800629.8679,74333,74319,0.245643,16259.0,27.5,,,0.0,8129.5,46109.889062,0.122822,8129.5,0.0,0.0,0.0,0.0,0.0,0.122822,good_contact
1773800629.888,90723,90643,0.438293,32583.0,27.5,,,0.0,13301.962871,69050.520929,0.179368,13301.962871,0.0,0.0,0.0,0.0,0.0,0.219001,good_contact
1773800629.908,107003,107112,0.594328,49052.0,27.5,,,0.0,18277.697236,93155.486247,0.222023,18277.697236,0.0,0.0,0.0,0.0,0.0,0.296528,good_contact
1773800629.9281,110204,123470,0.721003,65410.0,27.5,,,0.0,23138.429034,118671.846187,0.255382,23138.429034,0.0,0.0,0.0,0.0,0.0,0.360014,good_contact
1773800629.9481,110237,130396,0.743178,72336.0,27.5,,,0.0,25783.400355,138296.902635,0.265934,25783.400355,0.0,0.0,0.0,0.0,0.0,0.403493,good_contact
1773800629.9682,110205,130327,0.708852,72336.0,27.5,,,0.0,26516.228787,149810.372104,0.261496,26526.750605,0.0,0.0,0.0,0.0,0.0,0.431141,good_contact
1773800629.9883,110249,130396,0.685062,72336.0,27.5,,,0.0,26516.491269,156231.35755,0.252716,26524.545929,0.0,0.0,0.0,0.0,0.0,0.450221,good_contact
1773800630.0083,110212,130345,0.66767,72336.0,27.5,,,0.0,26182.47504,159002.928945,0.24292,26193.685112,0.0,0.0,0.0,0.0,0.0,0.464222,good_contact
1773800630.0284,110227,130416,0.654519,72356.0,27.5,,89.85,0.0,25706.570114,159165.133898,0.233283,25715.816325,0.0,0.0,0.0,0.0,0.0,0.474909,good_contact
