timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773928268.3221,57825,57996,0.0,0.0,30.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,good_contact
1773928268.6764,74242,74562,0.249943,16566.0,30.0,,,0.0,8283.0,46753.207298,0.124972,8283.0,0.0,0.0,0.0,0.0,0.0,0.124972,good_contact
1773928268.6965,90668,90921,0.441988,32925.0,30.0,,,0.0,13441.663513,69610.922839,0.180956,13441.663513,0.0,0.0,0.0,0.0,0.0,0.221457,good_contact
1773928268.7166,107210,106879,0.591879,48883.0,30.0,,,0.0,18225.495199,93040.744496,0.221418,18225.495199,0.0,0.0,0.0,0.0,0.0,0.29778,good_contact
1773928268.7366,117776,123703,0.723548,65707.0,30.0,,,0.0,23155.693066,118550.868968,0.255253,23155.693066,0.0,0.0,0.0,0.0,0.0,0.361363,good_contact
1773928268.7567,118088,136241,0.795305,78245.0,30.0,,,0.0,27082.416901,142599.72423,0.275386,27082.416901,0.0,0.0,0.0,0.0,0.0,0.410512,good_contact
1773928268.7767,118099,136621,0.75713,78625.0,30.0,,,0.0,28420.231649,157463.519737,0.274413,28420.231649,0.0,0.0,0.0,0.0,0.0,0.44152,good_contact
1773928268.7968,118080,136526,0.728474,78625.0,30.0,,,0.0,28697.65539,166144.433534,0.266796,28709.502612,0.0,0.0,0.0,0.0,0.0,0.462767,good_contact
1773928268.8169,118113,136664,0.707932,78668.0,30.0,,,0.0,28523.461306,170647.370768,0.257274,28532.875911,0.0,0.0,0.0,0.0,0.0,0.47819,good_contact
1773928268.8369,118082,136533,0.692106,78668.0,30.0,,89.02,0.0,28112.917676,171894.459631,0.247506,28131.330697,0.0,0.0,0.0,0.0,0.0,0.489961,good_contact
1773928268.857,118156,136729,0.680132,78733.0,30.0,,88.9,0.0,27612.525739,170884.798403,0.238147,27628.010074,0.0,0.0,0.0,0.0,0.0,0.499181,good_contact
1773928268.877,118090,136601,0.670079,78733.0,30.0,,88.81,0.0,27057.141583,167976.623449,0.229396,27077.961385,0.0,0.0,0.0,0.0,0.0,0.50666,good_contact
1773928268.8971,118186,136777,0.662131,78781.0,30.0,,88.73,0.0,26498.412161,163824.690283,0.221315,26516.51421,0.0,0.0,0.0,0.0,0.0,0.51279,good_contact
