timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773801503.88,57836,58110,0.0,0.0,28.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,motion_artifact
1773801504.2326,74581,74287,0.244371,16177.0,28.5,,,0.0,8088.5,45873.52515,0.122186,8088.5,0.0,0.0,0.0,0.0,0.0,0.122186,motion_artifact
1773801504.2527,90737,90705,0.438297,32595.0,28.5,,,0.0,13306.97427,68959.231804,0.179329,13306.97427,0.0,0.0,0.0,0.0,0.0,0.218609,motion_artifact
1773801504.2727,107077,107290,0.595414,49180.0,28.5,,,0.0,18331.347318,93239.214464,0.222467,18331.347318,0.0,0.0,0.0,0.0,0.0,0.296472,motion_artifact
1773801504.2928,110207,117042,0.658555,58932.0,28.5,,,0.0,21416.183072,112934.370131,0.240799,21416.183072,0.0,0.0,0.0,0.0,0.0,0.35063,motion_artifact
1773801504.3129,110404,117914,0.634696,59804.0,28.5,,,0.0,22236.178866,124178.237897,0.238367,22236.178866,0.0,0.0,0.0,0.0,0.0,0.383283,motion_artifact
1773801504.3329,110379,117529,0.613036,59804.0,28.5,,,0.0,22143.019832,129855.548377,0.229933,22192.9886,0.0,0.0,0.0,0.0,0.0,0.404893,motion_artifact
1773801504.353,109403,115505,0.599252,59804.0,28.5,,,0.0,21546.915033,130804.807619,0.220317,21818.749603,0.0,0.0,0.0,0.0,0.0,0.421222,motion_artifact
1773801504.373,108227,112695,0.590769,59804.0,28.5,,,0.0,20715.032973,127906.998878,0.210991,21315.239543,0.0,0.0,0.0,0.0,0.0,0.43476,motion_artifact
1773801504.3931,105717,107946,0.586876,59804.0,28.5,,87.26,0.0,19754.994579,120961.744762,0.202436,20769.036416,0.0,0.0,0.0,0.0,0.0,0.447393,motion_artifact
1773801504.4132,102962,84310,0.596233,59804.0,28.5,,87.71,0.0,19502.801109,99389.080151,0.195149,20219.67791,0.0,0.0,0.0,0.0,0.0,0.467409,motion_artifact
1773801504.4332,75067,65536,0.613968,59804.0,28.5,,87.91,0.0,20999.935238,69838.784231,0.189243,19685.526504,0.0,0.0,0.0,0.0,0.0,0.492367,motion_artifact
1773801504.4533,49152,33574,0.911827,84340.0,28.5,,91.98,0.0,26389.154508,27055.36014,0.210427,21253.018952,0.0,0.0,0.0,0.0,0.0,0.548759,motion_artifact
1773801504.4733,31787,23717,1.075519,94197.0,28.5,,89.43,0.0,30990.369942,-13137.908484,0.244527,23336.295785,0.0,0.0,0.0,0.0,0.0,0.614968,motion_artifact
1773801504.4934,24503,18493,1.198177,99421.0,28.5,,88.8,0.0,34545.451745,-48251.600871,0.281731,25247.469682,0.0,0.0,0.0,0.0,0.0,0.685709,motion_artifact
1773801504.5134,20456,15623,1.298649,102291.0,28.5,,88.5,0.0,37210.409279,-77683.65517,0.317957,26801.658707,0.0,0.0,0.0,0.0,0.0,0.758374,motion_artifact
1773801504.5335,18003,13895,1.387822,104019.0,28.5,,88.34,0.0,39193.853284,-101693.484393,0.352132,28011.52366,0.0,0.0,0.0,0.0,0.0,0.831741,motion_artifact
1773801504.5536,16583,12922,1.468313,104992.0,28.5,,88.27,0.0,40653.383984,-120773.862708,0.383933,28922.405389,0.0,0.0,0.0,0.0,0.0,0.904963,motion_artifact
1773801504.5736,15656,12258,1.544974,105656.0,28.5,,88.24,0.0,41722.160784,-135598.229506,0.41365,29598.602576,0.0,0.0,0.0,0.0,0.0,0.97774,motion_artifact
1773801504.5937,14833,11622,1.621574,106292.0,28.5,,88.23,0.0,42505.985414,-146879.758162,0.441819,30101.710687,0.0,0.0,0.0,0.0,0.0,1.050151,motion_artifact
1773801504.6137,13935,10949,1.699242,106965.0,28.5,,88.2,0.0,43080.400759,-155252.525227,0.4689,30477.822392,0.0,0.0,0.0,0.0,0.0,1.12237,motion_artifact
1773801504.6338,13122,10378,1.77572,107536.0,28.5,,88.18,0.0,43491.061215,-161198.931188,0.49504,30752.284496,0.0,0.0,0.0,0.0,0.0,1.194341,motion_artifact
1773801504.6539,12509,9949,1.850026,107965.0,28.5,,88.16,0.0,43769.360845,-165115.245673,0.520275,30941.901452,0.0,0.0,0.0,0.0,0.0,1.265925,motion_artifact
1773801504.6739,12195,9777,1.919555,108137.0,28.5,,88.16,0.0,43933.778787,-167299.872011,0.544454,31054.406377,0.0,0.0,0.0,0.0,0.0,1.336752,motion_artifact
1773801504.694,12180,9826,1.985109,108137.0,28.5,,88.18,0.0,44000.34434,-168021.931784,0.567522,31099.737919,0.0,0.0,0.0,0.0,0.0,1.406511,motion_artifact
1773801504.714,12411,10066,2.049366,108137.0,28.5,,88.21,0.0,43982.945114,-167520.46378,0.589616,31092.329049,0.0,0.0,0.0,0.0,0.0,1.475013,motion_artifact
1773801504.7341,12853,10524,2.111987,108137.0,28.5,,88.24,0.0,43891.824268,-165990.086507,0.610821,31043.287046,0.0,0.0,0.0,0.0,0.0,1.542006,motion_artifact
1773801504.7541,13981,11619,2.171954,108137.0,28.5,,88.27,0.0,43722.384238,-163480.086296,0.631147,30961.263034,0.0,0.0,0.0,0.0,0.0,1.606724,motion_artifact
1773801504.7742,16685,14027,2.227114,108137.0,28.5,,88.3,0.0,43454.635963,-159866.504316,0.650486,30853.064495,0.0,0.0,0.0,0.0,0.0,1.667515,motion_artifact
1773801504.7943,22851,19094,2.273088,108137.0,28.5,,88.34,0.0,43050.304413,-154735.529061,0.668526,30724.095543,0.0,0.0,0.0,0.0,0.0,1.720975,motion_artifact
1773801504.8143,37622,31103,2.29876,108137.0,28.5,,88.41,0.0,42450.108609,-146771.569967,0.684486,30578.678961,0.0,0.0,0.0,0.0,0.0,1.758423,motion_artifact
1773801504.8344,58120,57899,2.282298,108137.0,28.5,,88.37,0.0,41824.247512,-133220.042901,0.69682,30420.295357,0.0,0.0,0.0,0.0,0.0,1.762595,motion_artifact
1773801504.8544,107373,111695,2.192129,108137.0,28.5,,88.25,0.0,42635.717491,-109382.187857,0.703341,30251.763157,0.0,0.0,0.0,0.0,0.0,1.708085,motion_artifact
1773801504.8745,108270,113555,2.111282,108137.0,28.5,,88.12,0.0,43383.081022,-88113.392382,0.705744,30075.375705,0.0,0.0,0.0,0.0,0.0,1.658801,motion_artifact
1773801504.8945,108867,115153,2.038577,108137.0,28.5,,88.0,0.0,44065.513343,-69164.411457,0.705204,29893.006797,0.0,0.0,0.0,0.0,0.0,1.614161,motion_artifact
