timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773801080.5873,57925,57924,0.0,0.0,28.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,motion_artifact
1773801080.9399,74311,74334,0.248151,16410.0,28.1,,,0.0,8205.0,46539.157585,0.124076,8205.0,0.0,0.0,0.0,0.0,0.0,0.124076,motion_artifact
1773801080.9599,90627,90804,0.442209,32880.0,28.1,,,0.0,13423.21124,69685.002143,0.180981,13423.21124,0.0,0.0,0.0,0.0,0.0,0.22097,motion_artifact
1773801080.98,107116,107191,0.596718,49267.0,28.1,,,0.0,18366.063996,93758.217125,0.223079,18366.063996,0.0,0.0,0.0,0.0,0.0,0.298429,motion_artifact
1773801081.0001,108697,114223,0.633319,56299.0,28.1,,,0.0,20741.846797,110903.643595,0.235248,20741.846797,0.0,0.0,0.0,0.0,0.0,0.348401,motion_artifact
1773801081.0201,107964,112213,0.606791,56299.0,28.1,,,0.0,20833.55016,118285.181423,0.230232,21156.962028,0.0,0.0,0.0,0.0,0.0,0.379305,motion_artifact
1773801081.0402,106313,108416,0.592527,56299.0,28.1,,,0.0,20049.007129,118856.189765,0.221425,20933.725269,0.0,0.0,0.0,0.0,0.0,0.402123,motion_artifact
1773801081.0602,101969,100510,0.588275,56299.0,28.1,,,0.0,18841.972611,112103.68127,0.212425,20475.377795,0.0,0.0,0.0,0.0,0.0,0.422867,motion_artifact
1773801081.0803,109595,92562,0.590427,56299.0,28.1,,,0.0,17791.767278,100160.039496,0.20421,19935.091723,0.0,0.0,0.0,0.0,0.0,0.44286,motion_artifact
1773801081.1004,84444,69512,0.606874,56299.0,28.1,,87.57,0.0,18573.91827,74792.900741,0.197574,19377.473197,0.0,0.0,0.0,0.0,0.0,0.470363,motion_artifact
1773801081.1204,65536,49152,0.732751,65071.0,28.1,,90.89,0.0,21699.16174,41247.890734,0.200838,19476.302514,0.0,0.0,0.0,0.0,0.0,0.51331,motion_artifact
1773801081.1405,41849,35644,0.93132,78579.0,28.1,,89.34,0.0,25445.77575,5966.750271,0.224434,20757.626062,0.0,0.0,0.0,0.0,0.0,0.572849,motion_artifact
1773801081.1605,34000,29071,1.06281,85152.0,28.1,,88.8,0.0,28545.487466,-26177.537889,0.255647,22225.901403,0.0,0.0,0.0,0.0,0.0,0.638615,motion_artifact
1773801081.1806,29270,24806,1.173933,89417.0,28.1,,88.61,0.0,30977.001244,-54141.066606,0.289013,23574.404107,0.0,0.0,0.0,0.0,0.0,0.707611,motion_artifact
1773801081.2006,25543,21532,1.278034,92691.0,28.1,,88.46,0.0,32883.839661,-77906.179104,0.322754,24745.526388,0.0,0.0,0.0,0.0,0.0,0.778808,motion_artifact
1773801081.2207,22693,18899,1.378021,95324.0,28.1,,88.4,0.0,34384.175739,-97716.34682,0.356151,25738.313838,0.0,0.0,0.0,0.0,0.0,0.851636,motion_artifact
1773801081.2408,20134,16543,1.47824,97680.0,28.1,,88.35,0.0,35582.117177,-114011.878584,0.389251,26583.888591,0.0,0.0,0.0,0.0,0.0,0.92605,motion_artifact
1773801081.2608,17690,14353,1.580098,99870.0,28.1,,88.29,0.0,36553.13912,-127248.64189,0.422237,27311.806782,0.0,0.0,0.0,0.0,0.0,1.00215,motion_artifact
1773801081.2809,15601,12565,1.679196,101658.0,28.1,,88.23,0.0,37331.946933,-137731.326104,0.454817,27926.367011,0.0,0.0,0.0,0.0,0.0,1.079582,motion_artifact
1773801081.3009,14049,11318,1.771823,102905.0,28.1,,88.17,0.0,37935.106736,-145691.161106,0.486467,28422.772257,0.0,0.0,0.0,0.0,0.0,1.157654,motion_artifact
1773801081.321,12902,10448,1.859418,103775.0,28.1,,88.13,0.0,38385.319875,-151421.606098,0.516963,28808.628515,0.0,0.0,0.0,0.0,0.0,1.235877,motion_artifact
1773801081.341,11916,9696,1.945979,104527.0,28.1,,88.09,0.0,38713.382817,-155287.048505,0.546475,29104.184135,0.0,0.0,0.0,0.0,0.0,1.314191,motion_artifact
1773801081.3611,11079,9105,2.030292,105118.0,28.1,,88.05,0.0,38940.001781,-157583.020428,0.575038,29322.395695,0.0,0.0,0.0,0.0,0.0,1.392416,motion_artifact
1773801081.3812,10503,8709,2.111107,105514.0,28.1,,88.03,0.0,39079.424276,-158550.813241,0.602597,29471.701149,0.0,0.0,0.0,0.0,0.0,1.470269,motion_artifact
1773801081.4012,10218,8550,2.186796,105673.0,28.1,,88.02,0.0,39141.105702,-158383.805464,0.629002,29557.126584,0.0,0.0,0.0,0.0,0.0,1.547335,motion_artifact
1773801081.4213,10232,8551,2.258284,105673.0,28.1,,88.03,0.0,39135.682247,-157272.34649,0.65421,29586.072201,0.0,0.0,0.0,0.0,0.0,1.623317,motion_artifact
1773801081.4413,10515,8730,2.328433,105673.0,28.1,,88.05,0.0,39071.071002,-155371.896505,0.678367,29570.287591,0.0,0.0,0.0,0.0,0.0,1.69799,motion_artifact
1773801081.4614,11157,9183,2.39671,105673.0,28.1,,88.08,0.0,38950.748294,-152787.350854,0.701555,29518.911925,0.0,0.0,0.0,0.0,0.0,1.770957,motion_artifact
1773801081.4815,12324,10114,2.462136,105673.0,28.1,,88.1,0.0,38772.155488,-149556.142739,0.723789,29439.131862,0.0,0.0,0.0,0.0,0.0,1.841467,motion_artifact
1773801081.5015,14854,12247,2.522219,105673.0,28.1,,88.13,0.0,38516.034773,-145535.866403,0.744949,29336.651877,0.0,0.0,0.0,0.0,0.0,1.907598,motion_artifact
1773801081.5216,21955,18317,2.568857,105673.0,28.1,,88.16,0.0,38118.076662,-139976.772693,0.764535,29216.036755,0.0,0.0,0.0,0.0,0.0,1.963064,motion_artifact
