timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773801752.7026,57952,58042,0.0,0.0,28.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,poor_contact
1773801753.0552,74272,74254,0.245087,16212.0,28.3,,,0.0,8106.0,45978.370918,0.122543,8106.0,0.0,0.0,0.0,0.0,0.0,0.122543,poor_contact
1773801753.0752,90800,83006,0.347846,24964.0,28.3,,,0.0,10342.080943,57643.039779,0.145916,10342.080943,0.0,0.0,0.0,0.0,0.0,0.191248,poor_contact
1773801753.0953,98186,83249,0.337725,25207.0,28.3,,,0.0,10243.869102,60641.394797,0.140171,10243.869102,0.0,0.0,0.0,0.0,0.0,0.222351,poor_contact
1773801753.1154,98262,83332,0.331122,25290.0,28.3,,,0.0,9800.19799,61188.773876,0.131413,9800.19799,0.0,0.0,0.0,0.0,0.0,0.240055,poor_contact
1773801753.1354,98281,83423,0.327281,25381.0,28.3,,,0.0,9323.767693,60627.021351,0.12317,9323.767693,0.0,0.0,0.0,0.0,0.0,0.251563,poor_contact
1773801753.1555,98214,83601,0.325944,25559.0,28.3,,,0.0,8887.948787,59472.179101,0.11602,8887.948787,0.0,0.0,0.0,0.0,0.0,0.259813,poor_contact
1773801753.1755,98062,83921,0.327154,25879.0,28.3,,,0.0,8510.972433,58014.491026,0.109964,8510.972433,0.0,0.0,0.0,0.0,0.0,0.266252,poor_contact
1773801753.1956,97816,84209,0.328439,26167.0,28.3,,,0.0,8183.065899,56319.757205,0.104775,8183.065899,0.0,0.0,0.0,0.0,0.0,0.271477,poor_contact
1773801753.2157,97522,84541,0.330585,26499.0,28.3,,76.46,0.0,7899.43204,54487.717479,0.100309,7899.43204,0.0,0.0,0.0,0.0,0.0,0.275903,poor_contact
1773801753.2357,97188,84840,0.33255,26798.0,28.3,,76.87,0.0,7651.145266,52549.422012,0.096416,7651.145266,0.0,0.0,0.0,0.0,0.0,0.279728,poor_contact
1773801753.2558,96782,85044,0.333543,27002.0,28.3,,77.12,0.0,7428.429004,50497.87227,0.092956,7428.429004,0.0,0.0,0.0,0.0,0.0,0.283035,poor_contact
1773801753.2758,96635,85229,0.33447,27187.0,28.3,,77.34,0.0,7227.294903,48378.087545,0.089858,7227.294903,0.0,0.0,0.0,0.0,0.0,0.285935,poor_contact
1773801753.2959,96525,85385,0.335181,27343.0,28.3,,77.52,0.0,7044.028767,46222.554966,0.087058,7044.028767,0.0,0.0,0.0,0.0,0.0,0.288499,poor_contact
1773801753.3159,96270,85504,0.335563,27462.0,28.3,,77.64,0.0,6875.323339,44054.454123,0.084507,6875.323339,0.0,0.0,0.0,0.0,0.0,0.290775,poor_contact
