timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773801874.5152,57723,58104,0.0,0.0,28.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,poor_contact
1773801874.8678,74386,74434,0.24642,16330.0,28.3,,,0.0,8165.0,46312.400905,0.12321,8165.0,0.0,0.0,0.0,0.0,0.0,0.12321,poor_contact
1773801874.8879,90749,90722,0.438296,32618.0,28.3,,,0.0,13316.246418,69193.956671,0.179395,13316.246418,0.0,0.0,0.0,0.0,0.0,0.219242,poor_contact
1773801874.908,105427,107160,0.593862,49056.0,28.3,,,0.0,18274.968919,93242.624808,0.221815,18274.968919,0.0,0.0,0.0,0.0,0.0,0.296604,poor_contact
1773801874.928,102601,105047,0.563257,49056.0,28.3,,,0.0,18648.392141,102202.459068,0.221037,19069.642765,0.0,0.0,0.0,0.0,0.0,0.337706,poor_contact
1773801874.9481,104929,103275,0.546339,49056.0,28.3,,,0.0,18060.159326,104778.233603,0.212399,18884.864557,0.0,0.0,0.0,0.0,0.0,0.364026,poor_contact
1773801874.9681,106143,101308,0.536508,49056.0,28.3,,,0.0,17199.343116,103565.138058,0.202526,18398.459337,0.0,0.0,0.0,0.0,0.0,0.383051,poor_contact
1773801874.9882,106470,99269,0.530824,49056.0,28.3,,,0.0,16295.751536,99803.737257,0.193097,17824.821198,0.0,0.0,0.0,0.0,0.0,0.397972,poor_contact
1773801875.0083,105981,97387,0.527669,49056.0,28.3,,,0.0,15443.039712,94347.779972,0.184523,17242.6553,0.0,0.0,0.0,0.0,0.0,0.41028,poor_contact
1773801875.0283,105555,96566,0.525635,49056.0,28.3,,85.85,0.0,14690.277879,88356.352357,0.176819,16682.2457,0.0,0.0,0.0,0.0,0.0,0.420392,poor_contact
1773801875.0484,105798,97872,0.523318,49056.0,28.3,,85.96,0.0,14067.435324,83332.074335,0.169871,16154.579275,0.0,0.0,0.0,0.0,0.0,0.428064,poor_contact
1773801875.0684,105894,100229,0.520316,49056.0,28.3,,86.01,0.0,13587.414431,79731.183388,0.163564,15662.479997,0.0,0.0,0.0,0.0,0.0,0.433502,poor_contact
1773801875.0885,104007,101999,0.517061,49056.0,28.3,,85.98,0.0,13215.370394,76938.392341,0.157814,15205.2627,0.0,0.0,0.0,0.0,0.0,0.437425,poor_contact
1773801875.1086,99693,101904,0.514339,49056.0,28.3,,85.88,0.0,12862.678525,73788.275562,0.152563,14780.794969,0.0,0.0,0.0,0.0,0.0,0.440781,poor_contact
1773801875.1286,98428,102870,0.511659,49056.0,28.3,,85.76,0.0,12566.312181,70970.42389,0.147751,14386.441524,0.0,0.0,0.0,0.0,0.0,0.443362,poor_contact
1773801875.1487,99267,103861,0.509009,49056.0,28.3,,85.65,0.0,12319.832208,68467.852004,0.143324,14019.499882,0.0,0.0,0.0,0.0,0.0,0.445313,poor_contact
1773801875.1687,100064,104735,0.506425,49056.0,28.3,,85.55,0.0,12112.763838,66193.52307,0.139238,13677.395611,0.0,0.0,0.0,0.0,0.0,0.44678,poor_contact
1773801875.1888,100641,105230,0.504008,49056.0,28.3,,85.46,0.0,11926.336988,63958.691419,0.135455,13357.761489,0.0,0.0,0.0,0.0,0.0,0.447946,poor_contact
1773801875.2088,101090,105565,0.501774,49056.0,28.3,,85.39,0.0,11752.924648,61719.251885,0.131944,13058.460356,0.0,0.0,0.0,0.0,0.0,0.448898,poor_contact
1773801875.2289,101988,106563,0.499527,49056.0,28.3,,85.32,0.0,11614.702583,59784.882884,0.128674,12777.581219,0.0,0.0,0.0,0.0,0.0,0.449519,poor_contact
1773801875.249,102718,107323,0.49898,49219.0,28.3,,85.34,0.0,11499.907447,58022.235198,0.125633,12516.372396,0.0,0.0,0.0,0.0,0.0,0.44999,poor_contact
1773801875.269,103178,107773,0.501432,49669.0,28.3,,85.5,0.0,11395.452963,56301.97584,0.122813,12278.003877,0.0,0.0,0.0,0.0,0.0,0.450528,poor_contact
1773801875.2891,103530,108190,0.503622,50086.0,28.3,,85.66,0.0,11299.616815,54626.059772,0.120191,12059.623957,0.0,0.0,0.0,0.0,0.0,0.451115,poor_contact
1773801875.3091,103728,108369,0.503541,50265.0,28.3,,85.7,0.0,11204.311125,52925.804778,0.117728,11854.936807,0.0,0.0,0.0,0.0,0.0,0.45169,poor_contact
1773801875.3292,103537,108159,0.501864,50265.0,28.3,,85.65,0.0,11098.802541,51101.977661,0.115401,11659.617035,0.0,0.0,0.0,0.0,0.0,0.452254,poor_contact
1773801875.3492,103594,108250,0.500309,50265.0,28.3,,85.61,0.0,10994.001584,49293.781441,0.113198,11473.056254,0.0,0.0,0.0,0.0,0.0,0.452754,poor_contact
