timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773928511.4154,57889,57982,0.0,0.0,30.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,poor_contact
1773928511.768,74484,74217,0.245615,16235.0,30.1,,,0.0,8117.5,46038.775365,0.122807,8117.5,0.0,0.0,0.0,0.0,0.0,0.122807,poor_contact
1773928511.7881,90751,90716,0.440536,32734.0,30.1,,,0.0,13363.74441,69240.611691,0.180244,13363.74441,0.0,0.0,0.0,0.0,0.0,0.219676,poor_contact
1773928511.8081,102955,99891,0.519309,41909.0,30.1,,,0.0,16021.481993,85562.116855,0.200497,16021.481993,0.0,0.0,0.0,0.0,0.0,0.281525,poor_contact
1773928511.8282,103166,100172,0.498726,42190.0,30.1,,,0.0,16309.701636,92777.739982,0.195938,16309.701636,0.0,0.0,0.0,0.0,0.0,0.314598,poor_contact
1773928511.8482,103115,100150,0.483897,42190.0,30.1,,,0.0,15977.317099,95804.023122,0.186643,15980.2936,0.0,0.0,0.0,0.0,0.0,0.335019,poor_contact
1773928511.8683,103081,100149,0.473834,42190.0,30.1,,,0.0,15471.805111,96485.437373,0.176969,15476.423959,0.0,0.0,0.0,0.0,0.0,0.348879,poor_contact
1773928511.8884,103122,100173,0.466553,42191.0,30.1,,,0.0,14933.587778,95654.432102,0.16798,14937.251056,0.0,0.0,0.0,0.0,0.0,0.35889,poor_contact
1773928511.9084,103230,100212,0.461439,42230.0,30.1,,,0.0,14411.146118,93768.249931,0.159911,14414.143571,0.0,0.0,0.0,0.0,0.0,0.366496,poor_contact
1773928511.9285,103395,100234,0.457324,42252.0,30.1,,83.68,0.0,13919.418028,91107.067945,0.152714,13921.929403,0.0,0.0,0.0,0.0,0.0,0.372467,poor_contact
1773928511.9485,103513,100264,0.45413,42282.0,30.1,,83.66,0.0,13463.321327,87894.074921,0.146299,13465.464326,0.0,0.0,0.0,0.0,0.0,0.377288,poor_contact
1773928511.9686,103613,100271,0.451311,42289.0,30.1,,83.62,0.0,13041.40049,84287.338708,0.140553,13043.256836,0.0,0.0,0.0,0.0,0.0,0.381252,poor_contact
1773928511.9886,103676,100295,0.449136,42313.0,30.1,,83.62,0.0,12652.316312,80439.891422,0.135387,12653.943878,0.0,0.0,0.0,0.0,0.0,0.38458,poor_contact
1773928512.0087,103702,100297,0.447094,42315.0,30.1,,83.62,0.0,12292.45678,76454.336379,0.130715,12293.898687,0.0,0.0,0.0,0.0,0.0,0.387405,poor_contact
1773928512.0288,103702,100300,0.445352,42318.0,30.1,,83.64,0.0,11959.139545,72426.531809,0.12647,11960.428291,0.0,0.0,0.0,0.0,0.0,0.389833,poor_contact
1773928512.0488,103756,100314,0.443954,42332.0,30.1,,83.63,0.0,11650.039821,68436.849912,0.122595,11651.200254,0.0,0.0,0.0,0.0,0.0,0.391948,poor_contact
1773928512.0689,103893,100341,0.442874,42359.0,30.1,,83.58,0.0,11362.989217,64547.187885,0.119045,11364.040645,0.0,0.0,0.0,0.0,0.0,0.393812,poor_contact
1773928512.0889,104138,100384,0.442107,42402.0,30.1,,83.48,0.0,11096.049122,60804.105855,0.115779,11097.00674,0.0,0.0,0.0,0.0,0.0,0.395474,poor_contact
1773928512.109,104318,100380,0.441025,42402.0,30.1,,83.39,0.0,10846.147155,57212.075539,0.112759,10847.106109,0.0,0.0,0.0,0.0,0.0,0.396954,poor_contact
1773928512.1291,104463,100423,0.44045,42441.0,30.1,,83.35,0.0,10612.56575,53810.79914,0.109959,10613.447438,0.0,0.0,0.0,0.0,0.0,0.398292,poor_contact
1773928512.1491,104590,100437,0.439709,42455.0,30.1,,83.3,0.0,10393.164047,50595.823527,0.107353,10393.977888,0.0,0.0,0.0,0.0,0.0,0.399501,poor_contact
1773928512.1692,104617,100443,0.438967,42461.0,30.1,,83.3,0.0,10186.495527,47568.03755,0.10492,10187.249485,0.0,0.0,0.0,0.0,0.0,0.400598,poor_contact
1773928512.1892,104565,100448,0.438286,42466.0,30.1,,83.32,0.0,9991.410563,44726.859125,0.102642,9992.111359,0.0,0.0,0.0,0.0,0.0,0.401597,poor_contact
1773928512.2093,104557,100443,0.437618,42466.0,30.1,,83.33,0.0,9806.761197,42065.156335,0.100503,9807.486954,0.0,0.0,0.0,0.0,0.0,0.402511,poor_contact
1773928512.2293,104468,100439,0.437005,42466.0,30.1,,83.34,0.0,9631.695934,39577.770656,0.09849,9632.496906,0.0,0.0,0.0,0.0,0.0,0.40335,poor_contact
1773928512.2494,104325,100434,0.436442,42466.0,30.1,,83.35,0.0,9465.426444,37256.963419,0.096592,9466.35656,0.0,0.0,0.0,0.0,0.0,0.404123,poor_contact
1773928512.2695,104142,100416,0.435925,42466.0,30.1,,83.35,0.0,9307.105034,35090.503582,0.094798,9308.364213,0.0,0.0,0.0,0.0,0.0,0.40484,poor_contact
1773928512.2895,103999,100391,0.43545,42466.0,30.1,,83.36,0.0,9156.058747,33068.154465,0.093098,9157.890863,0.0,0.0,0.0,0.0,0.0,0.405508,poor_contact
1773928512.3096,103992,100416,0.435005,42466.0,30.1,,83.36,0.0,9012.294217,31194.777617,0.091486,9014.371305,0.0,0.0,0.0,0.0,0.0,0.406125,poor_contact
1773928512.3296,104008,100419,0.43459,42466.0,30.1,,83.36,0.0,8875.031491,29453.73087,0.089954,8877.296411,0.0,0.0,0.0,0.0,0.0,0.406699,poor_contact
1773928512.3497,104115,100434,0.434201,42466.0,30.1,,83.36,0.0,8743.919218,27838.376108,0.088496,8746.206451,0.0,0.0,0.0,0.0,0.0,0.407233,poor_contact
1773928512.3698,104264,100455,0.433904,42473.0,30.1,,83.37,0.0,8618.57454,26340.440218,0.087106,8620.750222,0.0,0.0,0.0,0.0,0.0,0.407733,poor_contact
1773928512.3898,104076,100532,0.434335,42550.0,30.1,,83.42,0.0,8499.100749,24962.747054,0.08578,8501.171366,0.0,0.0,0.0,0.0,0.0,0.408215,poor_contact
1773928512.4099,103954,100423,0.434015,42550.0,30.1,,83.42,0.0,8383.467114,23655.731597,0.084513,8386.372801,0.0,0.0,0.0,0.0,0.0,0.408682,poor_contact
1773928512.4299,103890,100516,0.433702,42550.0,30.1,,83.43,0.0,8273.141268,22456.713197,0.083299,8276.04905,0.0,0.0,0.0,0.0,0.0,0.40911,poor_contact
1773928512.45,104154,100556,0.433646,42574.0,30.1,,83.44,0.0,8167.333902,21345.289013,0.082137,8170.113132,0.0,0.0,0.0,0.0,0.0,0.409516,poor_contact
1773928512.47,104560,100620,0.434006,42638.0,30.1,,83.49,0.0,8065.94435,20318.352291,0.081022,8068.601674,0.0,0.0,0.0,0.0,0.0,0.40991,poor_contact
1773928512.4901,104829,100686,0.434393,42704.0,30.1,,83.41,0.0,7968.707978,19368.684971,0.079952,7971.24942,0.0,0.0,0.0,0.0,0.0,0.410294,poor_contact
1773928512.5102,104730,100690,0.434164,42708.0,30.1,,83.42,0.0,7874.893383,18479.118298,0.078923,7877.326519,0.0,0.0,0.0,0.0,0.0,0.410657,poor_contact
1773928512.5302,104567,100678,0.43391,42708.0,30.1,,83.42,0.0,7784.191212,17642.672355,0.077932,7786.610084,0.0,0.0,0.0,0.0,0.0,0.411004,poor_contact
1773928512.5503,104642,100708,0.433847,42726.0,30.1,,83.44,0.0,7696.729925,16862.08642,0.076977,7699.050106,0.0,0.0,0.0,0.0,0.0,0.411334,poor_contact
1773928512.5703,104707,100668,0.433618,42726.0,30.1,,83.44,0.0,7611.851483,16122.634063,0.076057,7614.348546,0.0,0.0,0.0,0.0,0.0,0.411653,poor_contact
1773928512.5904,104663,100603,0.433406,42726.0,30.1,,83.44,0.0,7529.282608,15418.400542,0.075169,7532.355107,0.0,0.0,0.0,0.0,0.0,0.411962,poor_contact
1773928512.6105,104524,100460,0.433219,42726.0,30.1,,83.45,0.0,7448.491905,14737.13145,0.074311,7452.93016,0.0,0.0,0.0,0.0,0.0,0.412271,poor_contact
1773928512.6305,104424,100388,0.433047,42726.0,30.1,,83.45,0.0,7369.851587,14088.033096,0.073481,7375.94381,0.0,0.0,0.0,0.0,0.0,0.412573,poor_contact
1773928512.6506,104407,100347,0.432886,42726.0,30.1,,83.46,0.0,7293.436373,13473.341262,0.072679,7301.275056,0.0,0.0,0.0,0.0,0.0,0.412865,poor_contact
1773928512.6706,104392,100325,0.432735,42726.0,30.1,,83.46,0.0,7219.237383,12893.173336,0.071902,7228.811036,0.0,0.0,0.0,0.0,0.0,0.413146,poor_contact
1773928512.6907,104434,100335,0.432588,42726.0,30.1,,83.46,0.0,7147.295897,12348.868619,0.07115,7158.446346,0.0,0.0,0.0,0.0,0.0,0.413415,poor_contact
1773928512.7107,104320,100310,0.432451,42726.0,30.1,,83.46,0.0,7077.346442,11833.781893,0.07042,7090.082428,0.0,0.0,0.0,0.0,0.0,0.413674,poor_contact
1773928512.7308,104268,100321,0.432318,42726.0,30.1,,83.47,0.0,7009.452026,11349.865249,0.069713,7023.627016,0.0,0.0,0.0,0.0,0.0,0.413922,poor_contact
1773928512.7509,104160,100309,0.432191,42726.0,30.1,,83.47,0.0,6943.419917,10892.389404,0.069026,6958.993633,0.0,0.0,0.0,0.0,0.0,0.414161,poor_contact
1773928512.7709,104208,100351,0.432065,42726.0,30.1,,83.47,0.0,6879.383914,10464.976623,0.068359,6896.101143,0.0,0.0,0.0,0.0,0.0,0.414388,poor_contact
1773928512.791,104358,100388,0.431942,42726.0,30.1,,83.47,0.0,6817.231374,10064.733834,0.067712,6834.873332,0.0,0.0,0.0,0.0,0.0,0.414603,poor_contact
1773928512.811,104453,100411,0.431821,42726.0,30.1,,83.47,0.0,6756.820169,9688.231639,0.067082,6775.238539,0.0,0.0,0.0,0.0,0.0,0.414808,poor_contact
