timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773802503.7258,1249,1021,0.0,0.0,28.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,finger_off
1773802504.0784,1258,1011,0.009843,10.0,28.3,,,0.0,5.0,-28.358708,0.004921,5.0,0.0,0.0,0.0,1.0,1.0,0.004921,finger_off
1773802504.0984,1239,1013,0.009852,10.0,28.3,,,0.0,4.320494,-24.531624,0.004642,4.714045,0.0,0.0,0.0,1.0,1.0,0.006568,finger_off
1773802504.1185,1241,1011,0.009862,10.0,28.3,,,0.0,4.123106,-24.851166,0.004266,4.330127,0.0,0.0,0.0,1.0,1.0,0.007396,finger_off
1773802504.1386,1247,997,0.023748,24.0,28.3,,,0.0,7.735632,-37.096687,0.007575,7.652451,0.0,0.0,0.0,1.0,1.0,0.010687,finger_off
1773802504.1586,1248,1009,0.023755,24.0,28.3,,,0.0,7.086764,-34.627953,0.008463,8.544004,0.0,0.0,0.0,1.0,1.0,0.012867,finger_off
1773802504.1787,1258,1015,0.023739,24.0,28.3,,,0.0,6.761234,-27.981546,0.008714,8.797031,0.0,0.0,0.0,1.0,1.0,0.014413,finger_off
1773802504.1987,1245,1017,0.023721,24.0,28.3,,,0.0,6.628537,-21.308537,0.008715,8.799858,0.0,0.0,0.0,1.0,1.0,0.015567,finger_off
1773802504.2188,1237,994,0.026739,27.0,28.3,,,0.0,8.376923,-31.266382,0.008935,9.0185,0.0,0.0,0.0,1.0,1.0,0.016835,finger_off
1773802504.2389,1253,1010,0.026738,27.0,28.3,,94.26,0.0,7.947327,-28.374635,0.008985,9.066422,0.0,0.0,0.0,1.0,1.0,0.017825,finger_off
1773802504.2589,1258,1005,0.02675,27.0,28.3,,94.28,0.0,7.702098,-28.822731,0.008945,9.023386,0.0,0.0,0.0,1.0,1.0,0.018644,finger_off
1773802504.279,1244,1010,0.026748,27.0,28.3,,94.27,0.0,7.376295,-25.865707,0.008854,8.930286,0.0,0.0,0.0,1.0,1.0,0.019318,finger_off
1773802504.299,1255,1017,0.026733,27.0,28.3,,94.27,0.0,7.369375,-19.195501,0.008735,8.809624,0.0,0.0,0.0,1.0,1.0,0.019878,finger_off
1773802504.3191,1245,1007,0.026738,27.0,28.3,,94.27,0.0,7.143214,-19.093334,0.008601,8.674382,0.0,0.0,0.0,1.0,1.0,0.020372,finger_off
1773802504.3391,1256,1017,0.026726,27.0,28.3,,94.27,0.0,7.131776,-13.552634,0.00846,8.532292,0.0,0.0,0.0,1.0,1.0,0.020787,finger_off
1773802504.3592,1249,1015,0.026718,27.0,28.3,,94.27,0.0,6.999721,-9.928261,0.008317,8.38805,0.0,0.0,0.0,1.0,1.0,0.021152,finger_off
1773802504.3793,1251,1009,0.02672,27.0,28.3,,94.27,0.0,6.800672,-9.766669,0.008174,8.244533,0.0,0.0,0.0,1.0,1.0,0.021481,finger_off
1773802504.3993,1242,1001,0.026734,27.0,28.3,,94.27,0.0,6.95599,-13.207587,0.008035,8.103497,0.0,0.0,0.0,1.0,1.0,0.021783,finger_off
1773802504.4194,1245,1019,0.026722,27.0,28.3,,94.26,0.0,7.065973,-8.055606,0.007898,7.965994,0.0,0.0,0.0,1.0,1.0,0.022034,finger_off
1773802504.4394,1247,1015,0.026715,27.0,28.3,,94.26,0.0,6.958987,-5.42701,0.007766,7.832624,0.0,0.0,0.0,1.0,1.0,0.022263,finger_off
1773802504.4595,1247,1017,0.026707,27.0,28.3,,94.25,0.0,6.924602,-2.435199,0.007637,7.703696,0.0,0.0,0.0,1.0,1.0,0.022468,finger_off
1773802504.4796,1247,1017,0.0267,27.0,28.3,,94.25,0.0,6.881674,0.048677,0.007513,7.579332,0.0,0.0,0.0,1.0,1.0,0.022655,finger_off
1773802504.4996,1251,1017,0.026694,27.0,28.3,,94.25,0.0,6.832592,2.101641,0.007394,7.459532,0.0,0.0,0.0,1.0,1.0,0.022825,finger_off
1773802504.5197,1256,1016,0.026689,27.0,28.3,,94.25,0.0,6.749486,3.451262,0.007279,7.344215,0.0,0.0,0.0,1.0,1.0,0.022982,finger_off
1773802504.5397,1251,1010,0.02669,27.0,28.3,,94.25,0.0,6.621178,2.621068,0.007168,7.233257,0.0,0.0,0.0,1.0,1.0,0.023132,finger_off
1773802504.5598,1249,1015,0.026687,27.0,28.3,,94.25,0.0,6.52544,3.441325,0.007062,7.126499,0.0,0.0,0.0,1.0,1.0,0.023266,finger_off
1773802504.5798,1249,1013,0.026686,27.0,28.3,,94.25,0.0,6.407943,3.526641,0.00696,7.023769,0.0,0.0,0.0,1.0,1.0,0.023391,finger_off
1773802504.5999,1258,1011,0.026686,27.0,28.3,,94.25,0.0,6.29413,3.025518,0.006861,6.924889,0.0,0.0,0.0,1.0,1.0,0.023509,finger_off
1773802504.62,1252,1008,0.02669,27.0,28.3,,94.25,0.0,6.222394,1.797236,0.006766,6.829676,0.0,0.0,0.0,1.0,1.0,0.023622,finger_off
1773802504.64,1261,1000,0.0267,27.0,28.3,,,0.0,6.463659,-1.25615,0.006675,6.737952,0.0,0.0,0.0,1.0,1.0,0.023733,finger_off
1773802504.6601,1252,1010,0.026701,27.0,28.3,,92.02,0.0,6.362285,-1.454074,0.006588,6.649544,0.0,0.0,0.0,1.0,1.0,0.02383,finger_off
1773802504.6801,1249,1011,0.026701,27.0,28.3,,92.02,0.0,6.262176,-1.388356,0.006503,6.564285,0.0,0.0,0.0,1.0,1.0,0.02392,finger_off
1773802504.7002,1242,1082,0.086842,88.0,28.3,,100.0,0.0,13.615202,14.090053,0.012543,12.705898,0.0,0.0,0.0,1.0,1.0,0.025778,finger_off
1773802504.7203,1252,1014,0.08684,88.0,28.3,,100.0,0.0,13.413958,13.203033,0.016092,16.3094,0.0,0.0,0.0,1.0,1.0,0.027573,finger_off
1773802504.7403,1228,1124,0.127888,130.0,28.3,,100.0,0.0,22.684635,34.163193,0.023034,23.398587,0.0,0.0,0.0,1.0,1.0,0.030356,finger_off
1773802504.7604,1239,1126,0.129468,132.0,28.3,,100.0,0.0,28.70583,52.483338,0.027935,28.435111,0.0,0.0,0.0,1.0,1.0,0.033021,finger_off
1773802504.7804,1248,1145,0.147613,151.0,28.3,,100.0,0.0,34.864949,71.57246,0.033216,33.892926,0.0,0.0,0.0,1.0,1.0,0.036012,finger_off
1773802504.8005,1246,1171,0.172373,177.0,28.3,,100.0,0.0,41.776048,92.380252,0.03935,40.272582,0.0,0.0,0.0,1.0,1.0,0.039467,finger_off
1773802504.8205,1245,1142,0.171879,177.0,28.3,,100.0,0.0,45.075537,105.355465,0.044089,45.228473,0.0,0.0,0.0,1.0,1.0,0.042752,finger_off
1773802504.8406,1240,1148,0.171387,177.0,28.3,,100.0,0.0,48.182855,117.286405,0.047908,49.249137,0.0,0.0,0.0,1.0,1.0,0.045848,finger_off
