timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773800290.1313,57994,58010,0.0,0.0,27.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,good_contact
1773800290.484,74319,74246,0.245524,16236.0,27.5,,,0.0,8118.0,46044.101575,0.122762,8118.0,0.0,0.0,0.0,0.0,0.0,0.122762,good_contact
1773800290.504,90832,90689,0.439736,32679.0,27.5,,,0.0,13341.2351,69163.680949,0.179929,13341.2351,0.0,0.0,0.0,0.0,0.0,0.219404,good_contact
1773800290.5241,107019,106901,0.592895,48891.0,27.5,,,0.0,18236.989945,93049.767773,0.221785,18236.989945,0.0,0.0,0.0,0.0,0.0,0.29652,good_contact
1773800290.5441,113712,123429,0.721626,65419.0,27.5,,,0.0,23121.505375,118606.05827,0.25538,23121.505375,0.0,0.0,0.0,0.0,0.0,0.360101,good_contact
1773800290.5642,113751,134727,0.782824,76717.0,27.5,,,0.0,26744.587326,141739.196184,0.273328,26744.587326,0.0,0.0,0.0,0.0,0.0,0.408063,good_contact
1773800290.5842,113875,135097,0.746245,77087.0,27.5,,,0.0,27957.124614,155958.196388,0.271673,27957.124614,0.0,0.0,0.0,0.0,0.0,0.438431,good_contact
1773800290.6043,113901,135157,0.719105,77147.0,27.5,,,0.0,28194.023245,164276.704179,0.263886,28194.023245,0.0,0.0,0.0,0.0,0.0,0.459276,good_contact
1773800290.6244,114019,135287,0.700013,77277.0,27.5,,,0.0,28000.717003,168507.768708,0.254401,28000.717003,0.0,0.0,0.0,0.0,0.0,0.474517,good_contact
1773800290.6444,114026,135314,0.684799,77304.0,27.5,,89.82,0.0,27595.800561,169657.211755,0.244722,27595.800561,0.0,0.0,0.0,0.0,0.0,0.486117,good_contact
1773800290.6645,114117,135406,0.673401,77396.0,27.5,,89.67,0.0,27096.360353,168522.619342,0.235471,27096.360353,0.0,0.0,0.0,0.0,0.0,0.495271,good_contact
1773800290.6845,114091,135369,0.663569,77396.0,27.5,,89.56,0.0,26550.530089,165586.861239,0.226823,26552.707447,0.0,0.0,0.0,0.0,0.0,0.502667,good_contact
1773800290.7046,114163,135457,0.655865,77447.0,27.5,,89.47,0.0,25997.262211,161382.63433,0.21884,25999.156381,0.0,0.0,0.0,0.0,0.0,0.508763,good_contact
