timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773801002.6676,58088,57836,0.0,0.0,27.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,good_contact
1773801003.0202,74288,74428,0.250892,16592.0,27.8,,,0.0,8296.0,47054.136796,0.125446,8296.0,0.0,0.0,0.0,0.0,0.0,0.125446,good_contact
1773801003.0403,90757,90679,0.441947,32843.0,27.8,,,0.0,13408.339503,69857.724718,0.180975,13408.339503,0.0,0.0,0.0,0.0,0.0,0.221738,good_contact
1773801003.0604,107118,107124,0.597309,49288.0,27.8,,,0.0,18348.749104,93872.427188,0.223003,18348.749104,0.0,0.0,0.0,0.0,0.0,0.2991,good_contact
1773801003.0804,112438,123645,0.725229,65809.0,27.8,,,0.0,23237.610605,119474.767894,0.256379,23237.610605,0.0,0.0,0.0,0.0,0.0,0.362635,good_contact
1773801003.1005,112464,129873,0.740632,72037.0,27.8,,,0.0,25742.105414,138584.969603,0.265708,25742.105414,0.0,0.0,0.0,0.0,0.0,0.405372,good_contact
1773801003.1205,112422,129808,0.706846,72037.0,27.8,,,0.0,26413.57032,149740.17624,0.260799,26423.384702,0.0,0.0,0.0,0.0,0.0,0.432589,good_contact
1773801003.1406,112459,129883,0.683496,72047.0,27.8,,,0.0,26382.412897,155902.851975,0.25182,26389.934596,0.0,0.0,0.0,0.0,0.0,0.451398,good_contact
1773801003.1606,112417,129832,0.666342,72047.0,27.8,,,0.0,26030.834325,158481.839964,0.241934,26041.585747,0.0,0.0,0.0,0.0,0.0,0.46521,good_contact
1773801003.1807,112481,129878,0.6532,72047.0,27.8,,89.28,0.0,25542.879032,158484.480805,0.232253,25552.135923,0.0,0.0,0.0,0.0,0.0,0.475751,good_contact
1773801003.2008,112428,129826,0.642853,72047.0,27.8,,89.18,0.0,24992.800141,156492.609611,0.223167,25004.302241,0.0,0.0,0.0,0.0,0.0,0.484092,good_contact
1773801003.2208,112460,129878,0.634454,72047.0,27.8,,89.09,0.0,24429.513907,153069.381733,0.214782,24439.678657,0.0,0.0,0.0,0.0,0.0,0.490824,good_contact
1773801003.2409,112429,129831,0.627536,72047.0,27.8,,89.01,0.0,23868.339678,148540.207555,0.207095,23879.72356,0.0,0.0,0.0,0.0,0.0,0.4964,good_contact
