timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773893633.0773,57936,57900,0.0,0.0,26.6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,motion_artifact
1773893633.4299,74294,74388,0.249274,16488.0,26.6,,,0.0,8244.0,46757.269162,0.124637,8244.0,0.0,0.0,0.0,0.0,0.0,0.124637,motion_artifact
1773893633.45,90648,90734,0.441669,32834.0,26.6,,,0.0,13404.466155,69710.29773,0.180809,13404.466155,0.0,0.0,0.0,0.0,0.0,0.221153,motion_artifact
1773893633.47,101804,104500,0.569122,46600.0,26.6,,,0.0,17473.037651,90888.948267,0.214574,17473.037651,0.0,0.0,0.0,0.0,0.0,0.292872,motion_artifact
1773893633.4901,101640,104223,0.53967,46600.0,26.6,,,0.0,18003.210958,100039.144997,0.211917,18058.469499,0.0,0.0,0.0,0.0,0.0,0.330107,motion_artifact
1773893633.5101,101659,104208,0.521688,46600.0,26.6,,,0.0,17731.161795,104168.353103,0.202626,17811.125827,0.0,0.0,0.0,0.0,0.0,0.35287,motion_artifact
1773893633.5302,101963,104677,0.51112,46777.0,26.6,,,0.0,17272.464493,105837.345984,0.192565,17332.590396,0.0,0.0,0.0,0.0,0.0,0.36823,motion_artifact
1773893633.5503,103034,106145,0.516836,48245.0,26.6,,,0.0,16865.486462,106608.252869,0.183909,16911.707712,0.0,0.0,0.0,0.0,0.0,0.380495,motion_artifact
1773893633.5703,104366,108123,0.528726,50223.0,26.6,,,0.0,16565.129439,107088.984966,0.176807,16600.728066,0.0,0.0,0.0,0.0,0.0,0.391119,motion_artifact
1773893633.5904,106031,110536,0.545206,52636.0,26.6,,86.62,0.0,16392.617962,107633.592774,0.171204,16419.620818,0.0,0.0,0.0,0.0,0.0,0.400859,motion_artifact
1773893633.6104,107281,112837,0.560441,54937.0,26.6,,86.95,0.0,16316.544767,108151.821466,0.16673,16336.527679,0.0,0.0,0.0,0.0,0.0,0.40986,motion_artifact
1773893633.6305,108246,115011,0.574325,57111.0,26.6,,87.32,0.0,16312.106449,108568.21106,0.163112,16326.325671,0.0,0.0,0.0,0.0,0.0,0.418217,motion_artifact
1773893633.6505,109180,117544,0.591514,59644.0,26.6,,87.8,0.0,16397.830856,109105.598878,0.160401,16407.178422,0.0,0.0,0.0,0.0,0.0,0.426216,motion_artifact
1773893633.6706,109855,119490,0.602846,61590.0,26.6,,88.12,0.0,16515.757985,109405.791352,0.15814,16521.10185,0.0,0.0,0.0,0.0,0.0,0.43367,motion_artifact
1773893633.6907,110517,121331,0.613197,63431.0,26.6,,88.4,0.0,16656.559972,109462.69124,0.156227,16658.599359,0.0,0.0,0.0,0.0,0.0,0.440639,motion_artifact
