timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773801375.5046,58049,58051,0.0,0.0,28.4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,motion_artifact
1773801375.8573,74328,74286,0.245358,16235.0,28.4,,,0.0,8117.5,46035.320542,0.122679,8117.5,0.0,0.0,0.0,0.0,0.0,0.122679,motion_artifact
1773801375.8773,90737,90646,0.438531,32595.0,28.4,,,0.0,13306.885644,69028.405544,0.179452,13306.885644,0.0,0.0,0.0,0.0,0.0,0.218985,motion_artifact
1773801375.8974,107064,107214,0.59556,49163.0,28.4,,,0.0,18319.066616,93255.943846,0.22246,18319.066616,0.0,0.0,0.0,0.0,0.0,0.296771,motion_artifact
1773801375.9175,112712,123643,0.722634,65592.0,28.4,,,0.0,23209.092348,118895.797575,0.256021,23209.092348,0.0,0.0,0.0,0.0,0.0,0.360446,motion_artifact
1773801375.9375,112749,127600,0.717691,69549.0,28.4,,,0.0,25244.823533,136229.919024,0.261922,25244.823533,0.0,0.0,0.0,0.0,0.0,0.40096,motion_artifact
1773801375.9576,112744,127861,0.688946,69810.0,28.4,,,0.0,25760.146149,146429.065344,0.25613,25760.146149,0.0,0.0,0.0,0.0,0.0,0.427102,motion_artifact
1773801375.9776,112712,127942,0.66782,69891.0,28.4,,,0.0,25653.531706,151939.563163,0.246941,25653.531706,0.0,0.0,0.0,0.0,0.0,0.445313,motion_artifact
1773801375.9977,112728,128135,0.653377,70084.0,28.4,,,0.0,25286.94777,154237.595154,0.237164,25286.94777,0.0,0.0,0.0,0.0,0.0,0.458804,motion_artifact
1773801376.0177,112723,128214,0.641583,70163.0,28.4,,88.82,0.0,24798.934287,154097.407951,0.227671,24798.934287,0.0,0.0,0.0,0.0,0.0,0.469171,motion_artifact
1773801376.0378,112771,128413,0.633371,70362.0,28.4,,88.77,0.0,24271.034762,152202.191474,0.218831,24271.034762,0.0,0.0,0.0,0.0,0.0,0.477448,motion_artifact
1773801376.0579,112751,128456,0.625609,70405.0,28.4,,88.7,0.0,23728.1785,148901.828529,0.21067,23728.1785,0.0,0.0,0.0,0.0,0.0,0.484167,motion_artifact
1773801376.0779,112834,128684,0.620784,70633.0,28.4,,88.67,0.0,23199.709917,144676.354742,0.20322,23199.709917,0.0,0.0,0.0,0.0,0.0,0.489798,motion_artifact
1773801376.098,112871,128759,0.615654,70708.0,28.4,,88.62,0.0,22686.179406,139719.406848,0.196394,22686.179406,0.0,0.0,0.0,0.0,0.0,0.494551,motion_artifact
1773801376.118,112967,128995,0.612678,70944.0,28.4,,88.6,0.0,22199.118678,134361.546757,0.190157,22199.118678,0.0,0.0,0.0,0.0,0.0,0.498667,motion_artifact
1773801376.1381,113040,129093,0.609152,71042.0,28.4,,88.55,0.0,21733.960718,128710.896127,0.184424,21733.960718,0.0,0.0,0.0,0.0,0.0,0.50224,motion_artifact
1773801376.1582,113234,129435,0.608155,71384.0,28.4,,88.54,0.0,21299.401015,123041.545531,0.179166,21299.401015,0.0,0.0,0.0,0.0,0.0,0.505436,motion_artifact
1773801376.1782,113395,129575,0.60585,71524.0,28.4,,88.48,0.0,20886.993364,117355.11358,0.174308,20886.993364,0.0,0.0,0.0,0.0,0.0,0.508274,motion_artifact
1773801376.1983,113519,129489,0.602777,71524.0,28.4,,88.4,0.0,20489.583881,111644.807568,0.169794,20491.985523,0.0,0.0,0.0,0.0,0.0,0.510806,motion_artifact
