timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773928800.0907,58030,57888,0.0,0.0,30.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,motion_artifact
1773928800.4434,74283,74341,0.248856,16453.0,30.1,,,0.0,8226.5,46655.775216,0.124428,8226.5,0.0,0.0,0.0,0.0,0.0,0.124428,motion_artifact
1773928800.4635,90815,90689,0.441431,32801.0,30.1,,,0.0,13390.975045,69613.642075,0.180701,13390.975045,0.0,0.0,0.0,0.0,0.0,0.220951,motion_artifact
1773928800.4835,107242,107274,0.59827,49386.0,30.1,,,0.0,18392.399286,93835.750974,0.223396,18392.399286,0.0,0.0,0.0,0.0,0.0,0.298735,motion_artifact
1773928800.5036,110544,116395,0.655046,58507.0,30.1,,,0.0,21305.477855,112925.493738,0.240118,21305.477855,0.0,0.0,0.0,0.0,0.0,0.351884,motion_artifact
1773928800.5236,111185,117656,0.635556,59768.0,30.1,,,0.0,22131.603126,124099.606088,0.237717,22131.603126,0.0,0.0,0.0,0.0,0.0,0.384435,motion_artifact
1773928800.5437,110885,117123,0.614025,59768.0,30.1,,,0.0,22024.448766,129620.900845,0.229325,22093.530788,0.0,0.0,0.0,0.0,0.0,0.406071,motion_artifact
1773928800.5637,109681,114198,0.601013,59768.0,30.1,,,0.0,21343.211901,129830.931067,0.219797,21723.791399,0.0,0.0,0.0,0.0,0.0,0.422909,motion_artifact
1773928800.5838,107219,107944,0.595359,59768.0,30.1,,,0.0,20299.045165,124087.481942,0.210692,21224.280702,0.0,0.0,0.0,0.0,0.0,0.438534,motion_artifact
1773928800.6039,115896,100822,0.595103,59768.0,30.1,,85.59,0.0,19257.801655,113452.95049,0.202459,20681.652637,0.0,0.0,0.0,0.0,0.0,0.454021,motion_artifact
1773928800.6239,89676,81920,0.605246,59768.0,30.1,,85.78,0.0,19117.348228,91977.370051,0.195462,20135.506603,0.0,0.0,0.0,0.0,0.0,0.474803,motion_artifact
1773928800.644,65660,58680,0.626428,59768.0,30.1,,85.93,0.0,21393.159981,59938.513419,0.189973,19604.256898,0.0,0.0,0.0,0.0,0.0,0.502671,motion_artifact
1773928800.664,54284,49382,0.743158,68274.0,30.1,,87.65,0.0,23935.309739,28221.522359,0.192127,19597.54481,0.0,0.0,0.0,0.0,0.0,0.539053,motion_artifact
1773928800.6841,49400,45567,0.813987,72089.0,30.1,,87.21,0.0,25964.987635,250.90538,0.198559,19758.698896,0.0,0.0,0.0,0.0,0.0,0.577384,motion_artifact
1773928800.7042,47487,43906,0.86171,73750.0,30.1,,87.14,0.0,27446.685414,-23245.866146,0.206497,19904.841879,0.0,0.0,0.0,0.0,0.0,0.615084,motion_artifact
1773928800.7242,47396,43827,0.889766,73829.0,30.1,,87.18,0.0,28432.604199,-42105.96533,0.213907,19943.448912,0.0,0.0,0.0,0.0,0.0,0.65039,motion_artifact
1773928800.7443,47877,44221,0.914902,73829.0,30.1,,87.23,0.0,29051.869932,-56844.590412,0.220725,19904.430555,0.0,0.0,0.0,0.0,0.0,0.683242,motion_artifact
1773928800.7643,48878,45183,0.937831,73829.0,30.1,,87.28,0.0,29381.87407,-67894.649779,0.226961,19811.92262,0.0,0.0,0.0,0.0,0.0,0.713558,motion_artifact
1773928800.7844,52795,48760,0.957002,73829.0,30.1,,87.32,0.0,29370.444736,-74770.639544,0.232517,19682.387989,0.0,0.0,0.0,0.0,0.0,0.740189,motion_artifact
1773928800.8044,60168,55229,0.970792,73829.0,30.1,,87.38,0.0,29022.559315,-77098.34198,0.23722,19527.302716,0.0,0.0,0.0,0.0,0.0,0.761852,motion_artifact
1773928800.8245,69654,63316,0.978595,73829.0,30.1,,87.44,0.0,28452.649177,-75210.427801,0.240927,19354.805212,0.0,0.0,0.0,0.0,0.0,0.778005,motion_artifact
1773928800.8446,78917,70688,0.981407,73829.0,30.1,,87.52,0.0,27816.123698,-70324.498941,0.243607,19170.745567,0.0,0.0,0.0,0.0,0.0,0.789385,motion_artifact
1773928800.8646,85900,76280,0.980811,73829.0,30.1,,87.61,0.0,27205.552066,-63790.095741,0.245332,18979.373157,0.0,0.0,0.0,0.0,0.0,0.797249,motion_artifact
1773928800.8847,92390,81169,0.97762,73829.0,30.1,,87.71,0.0,26658.782876,-56282.244751,0.246207,18783.798497,0.0,0.0,0.0,0.0,0.0,0.802279,motion_artifact
1773928800.9047,98216,85562,0.972448,73829.0,30.1,,87.82,0.0,26194.199872,-48258.60249,0.246345,18586.310092,0.0,0.0,0.0,0.0,0.0,0.80501,motion_artifact
1773928800.9248,101674,88202,0.966435,73829.0,30.1,,87.92,0.0,25793.879324,-40456.928767,0.24588,18388.595804,0.0,0.0,0.0,0.0,0.0,0.806433,motion_artifact
1773928800.9449,102221,88000,0.961027,73829.0,30.1,,88.01,0.0,25406.44331,-33745.010855,0.244964,18191.899992,0.0,0.0,0.0,0.0,0.0,0.807813,motion_artifact
1773928800.9649,100055,85951,0.956966,73829.0,30.1,,88.1,0.0,25006.072669,-28483.765239,0.243735,17997.136624,0.0,0.0,0.0,0.0,0.0,0.809849,motion_artifact
1773928800.985,97489,83914,0.954081,73829.0,30.1,,88.18,0.0,24602.137149,-24433.112398,0.242293,17804.971709,0.0,0.0,0.0,0.0,0.0,0.812465,motion_artifact
1773928801.005,94898,81846,0.95225,73829.0,30.1,,88.25,0.0,24201.893721,-21401.557091,0.240712,17615.884026,0.0,0.0,0.0,0.0,0.0,0.815617,motion_artifact
1773928801.0251,92393,79920,0.951305,73829.0,30.1,,88.31,0.0,23812.081877,-19185.66403,0.239045,17430.210305,0.0,0.0,0.0,0.0,0.0,0.81921,motion_artifact
1773928801.0451,90543,78617,0.950918,73829.0,30.1,,88.37,0.0,23437.722328,-17507.627831,0.237326,17248.179124,0.0,0.0,0.0,0.0,0.0,0.823004,motion_artifact
1773928801.0652,92091,79882,0.950087,73829.0,30.1,,88.42,0.0,23083.074014,-15723.171773,0.235561,17069.93654,0.0,0.0,0.0,0.0,0.0,0.826157,motion_artifact
1773928801.0853,91310,79035,0.94961,73829.0,30.1,,88.46,0.0,22742.18946,-14304.097927,0.233772,16895.565592,0.0,0.0,0.0,0.0,0.0,0.829386,motion_artifact
1773928801.1053,89365,77473,0.949705,73829.0,30.1,,88.51,0.0,22414.993023,-13336.657905,0.231979,16725.101244,0.0,0.0,0.0,0.0,0.0,0.832904,motion_artifact
1773928801.1254,85257,74182,0.950914,73829.0,30.1,,88.54,0.0,22109.209204,-13074.604755,0.230211,16558.541875,0.0,0.0,0.0,0.0,0.0,0.837213,motion_artifact
1773928801.1454,83795,73116,0.952414,73829.0,30.1,,88.58,0.0,21820.725737,-12993.458,0.228474,16395.858163,0.0,0.0,0.0,0.0,0.0,0.841611,motion_artifact
1773928801.1655,92789,80839,0.951341,73829.0,30.1,,88.61,0.0,21538.259015,-11540.305499,0.226726,16236.999978,0.0,0.0,0.0,0.0,0.0,0.843576,motion_artifact
1773928801.1856,111672,101586,0.943863,73829.0,30.1,,88.62,0.0,21595.586414,-6796.641803,0.224873,16081.901741,0.0,0.0,0.0,0.0,0.0,0.839686,motion_artifact
1773928801.2056,108166,111578,0.933906,73829.0,30.1,,88.54,0.0,21950.704435,-1050.402534,0.222904,15930.486604,0.0,0.0,0.0,0.0,0.0,0.833405,motion_artifact
1773928801.2257,110395,116022,0.923374,73829.0,30.1,,88.45,0.0,22418.761587,4653.656186,0.22084,15782.669709,0.0,0.0,0.0,0.0,0.0,0.82643,motion_artifact
1773928801.2457,111331,117936,0.91651,74109.0,30.1,,88.44,0.0,22894.579757,9919.108916,0.218749,15641.644329,0.0,0.0,0.0,0.0,0.0,0.819553,motion_artifact
1773928801.2658,109944,115037,0.907589,74109.0,30.1,,88.36,0.0,23205.702696,14109.804169,0.216622,15503.787512,0.0,0.0,0.0,0.0,0.0,0.813808,motion_artifact
1773928801.2858,107302,107385,0.901136,74109.0,30.1,,88.32,0.0,23258.76992,16728.878711,0.214495,15369.026018,0.0,0.0,0.0,0.0,0.0,0.810138,motion_artifact
1773928801.3059,113888,98497,0.897194,74109.0,30.1,,88.37,0.0,23123.401954,17843.107938,0.212397,15237.283369,0.0,0.0,0.0,0.0,0.0,0.808608,motion_artifact
1773928801.326,85405,73575,0.899331,74109.0,30.1,,88.41,0.0,22908.524224,15670.518922,0.210373,15108.481108,0.0,0.0,0.0,0.0,0.0,0.812464,motion_artifact
1773928801.346,70295,62037,0.904085,74109.0,30.1,,88.43,0.0,22853.295379,12318.585752,0.208442,14982.539789,0.0,0.0,0.0,0.0,0.0,0.818617,motion_artifact
1773928801.3661,68037,60368,0.909076,74109.0,30.1,,88.44,0.0,22823.514357,9118.255005,0.2066,14859.379759,0.0,0.0,0.0,0.0,0.0,0.824927,motion_artifact
1773928801.3862,79749,71015,0.911474,74109.0,30.1,93.47,88.46,0.0,22638.211564,7437.410626,0.204824,14738.921766,0.0,0.0,1.0,0.0,0.0,0.828824,motion_artifact
1773928801.4062,107133,99980,0.907306,74109.0,30.1,93.47,88.46,0.0,22562.649356,9041.473975,0.203058,14621.087436,0.0,0.0,1.0,0.0,0.0,0.82668,motion_artifact
1773928801.4263,107954,109542,0.901278,74109.0,30.1,93.47,88.42,0.0,22671.876309,11450.258518,0.201294,14505.799628,0.0,0.0,1.0,0.0,0.0,0.822758,motion_artifact
1773928801.4463,109824,112988,0.89484,74109.0,30.1,93.47,88.36,0.0,22846.806286,13930.238273,0.199534,14392.982715,0.0,0.0,1.0,0.0,0.0,0.81838,motion_artifact
1773928801.4664,110401,113809,0.888567,74109.0,30.1,93.47,88.31,0.0,23019.7181,16207.80298,0.197784,14282.562787,0.0,0.0,1.0,0.0,0.0,0.814075,motion_artifact
1773928801.4865,107473,109007,0.883544,74109.0,30.1,93.47,88.27,0.0,23065.335823,17774.573763,0.196055,14174.467797,0.0,0.0,1.0,0.0,0.0,0.810845,motion_artifact
1773928801.5065,115454,104198,0.879669,74109.0,30.1,93.47,88.29,0.0,23015.393641,18717.283235,0.194354,14068.627662,0.0,0.0,1.0,0.0,0.0,0.808605,motion_artifact
1773928801.5266,92957,80190,0.880426,74109.0,30.1,93.47,88.33,0.0,22815.298839,17430.446105,0.1927,13964.974328,0.0,0.0,1.0,0.0,0.0,0.810571,motion_artifact
1773928801.5467,69376,61530,0.884601,74109.0,30.1,93.47,88.34,0.0,22808.846281,14655.356618,0.191104,13863.44181,0.0,0.0,1.0,0.0,0.0,0.815646,motion_artifact
1773928801.5667,60390,54216,0.890015,74109.0,30.1,93.47,88.35,0.0,22936.438326,11519.46693,0.189571,13763.966199,0.0,0.0,1.0,0.0,0.0,0.821834,motion_artifact
1773928801.5868,58649,53003,0.895532,74109.0,30.1,93.47,88.36,0.0,23074.325288,8562.893993,0.1881,13666.48566,0.0,0.0,1.0,0.0,0.0,0.828091,motion_artifact
1773928801.6069,62685,56813,0.900235,74109.0,30.1,93.47,88.37,0.0,23120.976514,6160.403036,0.186686,13570.940414,0.0,0.0,1.0,0.0,0.0,0.83357,motion_artifact
1773928801.6269,89463,79779,0.900691,74109.0,30.1,93.47,88.39,0.0,22932.950457,5685.668711,0.185306,13477.272701,0.0,0.0,1.0,0.0,0.0,0.835086,motion_artifact
1773928801.647,104492,101212,0.897361,74109.0,30.1,93.47,88.37,0.0,22871.932362,6800.710294,0.183939,13385.426747,0.0,0.0,1.0,0.0,0.0,0.833053,motion_artifact
1773928801.667,107644,108931,0.89284,74109.0,30.1,93.47,88.34,0.0,22927.36528,8350.99397,0.182581,13295.348715,0.0,0.0,1.0,0.0,0.0,0.829871,motion_artifact
1773928801.6871,107232,108579,0.888562,74109.0,30.1,93.47,88.31,0.0,22967.611147,9730.265677,0.181235,13206.986655,0.0,0.0,1.0,0.0,0.0,0.826874,motion_artifact
1773928801.7072,104726,105081,0.885023,74109.0,30.1,93.47,88.28,0.0,22945.892293,10745.341845,0.179906,13120.29045,0.0,0.0,1.0,0.0,0.0,0.824526,motion_artifact
1773928801.7272,115379,102725,0.881993,74109.0,30.1,93.47,88.3,0.0,22889.225222,11508.137594,0.178596,13035.21176,0.0,0.0,1.0,0.0,0.0,0.822616,motion_artifact
1773928801.7473,81920,65536,0.884899,74109.0,30.1,93.47,88.35,0.0,22828.111723,9859.536981,0.177323,12951.703963,0.0,0.0,1.0,0.0,0.0,0.826216,motion_artifact
1773928801.7674,43708,40470,0.932067,77466.0,30.1,93.47,88.17,0.0,23250.777055,6806.327976,0.176319,12894.616966,0.0,0.0,1.0,0.0,0.0,0.834007,motion_artifact
1773928801.7874,36258,34494,1.012554,83442.0,30.1,93.47,87.64,0.0,23801.768538,3639.940387,0.176149,12911.678285,0.0,0.0,1.0,0.0,0.0,0.843622,motion_artifact
1773928801.8075,36937,35106,1.020925,83442.0,30.1,93.47,87.64,0.0,24288.632075,760.119017,0.176064,12925.125922,0.0,0.0,1.0,0.0,0.0,0.85303,motion_artifact
1773928801.8275,47799,44654,1.02749,83442.0,30.1,93.47,87.64,0.0,24509.564554,-1354.528475,0.176037,12935.252042,0.0,0.0,1.0,0.0,0.0,0.860895,motion_artifact
1773928801.8476,74448,73224,1.028896,83442.0,30.1,93.47,87.63,0.0,24356.699526,-1737.699947,0.175998,12942.322508,0.0,0.0,1.0,0.0,0.0,0.86439,motion_artifact
1773928801.8677,101550,100532,1.025529,83442.0,30.1,93.47,87.61,0.0,24294.53901,-633.383803,0.175883,12946.579673,0.0,0.0,1.0,0.0,0.0,0.863808,motion_artifact
1773928801.8877,107918,109171,1.020815,83442.0,30.1,93.47,87.58,0.0,24342.470058,835.654705,0.175684,12948.244821,0.0,0.0,1.0,0.0,0.0,0.862012,motion_artifact
1773928801.9078,107360,108440,1.016388,83442.0,30.1,93.47,87.55,0.0,24372.795483,2155.50625,0.175411,12947.520313,0.0,0.0,1.0,0.0,0.0,0.860382,motion_artifact
1773928801.9279,114505,105280,1.012626,83442.0,30.1,93.47,87.56,0.0,24355.612737,3218.4116,0.17508,12944.591478,0.0,0.0,1.0,0.0,0.0,0.859243,motion_artifact
1773928801.9479,87119,76160,1.013623,83442.0,30.1,93.47,87.58,0.0,24207.259325,2797.532972,0.174746,12939.628281,0.0,0.0,1.0,0.0,0.0,0.862083,motion_artifact
1773928801.968,62974,56743,1.017677,83442.0,30.1,93.47,87.59,0.0,24223.09829,1492.735234,0.174444,12932.786803,0.0,0.0,1.0,0.0,0.0,0.867481,motion_artifact
1773928801.988,60134,54935,1.021946,83442.0,30.1,93.47,87.59,0.0,24258.630443,197.963126,0.174174,12924.210551,0.0,0.0,1.0,0.0,0.0,0.873029,motion_artifact
1773928802.0081,68037,60368,1.025286,83442.0,30.1,93.47,87.6,0.0,24222.220883,-761.424602,0.173926,12914.03163,0.0,0.0,1.0,0.0,0.0,0.87775,motion_artifact
