timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773801573.9163,57989,57940,0.0,0.0,28.4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,poor_contact
1773801574.2689,74352,74293,0.247336,16353.0,28.4,,,0.0,8176.5,46372.518714,0.123668,8176.5,0.0,0.0,0.0,0.0,0.0,0.123668,poor_contact
1773801574.289,90586,83078,0.350256,25138.0,28.4,,,0.0,10416.418013,58073.104779,0.146987,10416.418013,0.0,0.0,0.0,0.0,0.0,0.192703,poor_contact
1773801574.3091,100976,83718,0.344823,25778.0,28.4,,,0.0,10399.102687,61502.779842,0.142057,10399.102687,0.0,0.0,0.0,0.0,0.0,0.224958,poor_contact
1773801574.3291,101536,83623,0.336833,25778.0,28.4,,,0.0,9954.361508,62100.282444,0.133356,9967.962472,0.0,0.0,0.0,0.0,0.0,0.243164,poor_contact
1773801574.3492,101733,83134,0.332058,25778.0,28.4,,,0.0,9414.405416,61093.685733,0.125006,9483.541891,0.0,0.0,0.0,0.0,0.0,0.255106,poor_contact
1773801574.3692,101918,82591,0.329055,25778.0,28.4,,,0.0,8887.175847,59092.200037,0.117653,9025.471794,0.0,0.0,0.0,0.0,0.0,0.263693,poor_contact
1773801574.3893,101987,82200,0.32704,25778.0,28.4,,,0.0,8410.657725,56521.71953,0.111282,8610.71591,0.0,0.0,0.0,0.0,0.0,0.270199,poor_contact
1773801574.4093,102044,82079,0.325546,25778.0,28.4,,,0.0,7995.428972,53726.10687,0.10575,8239.463104,0.0,0.0,0.0,0.0,0.0,0.275251,poor_contact
1773801574.4294,102064,82126,0.324341,25778.0,28.4,,73.67,0.0,7636.306618,50886.738223,0.10091,7907.423374,0.0,0.0,0.0,0.0,0.0,0.279243,poor_contact
1773801574.4495,102028,82094,0.323373,25778.0,28.4,,73.86,0.0,7319.663182,47992.470438,0.096643,7609.519891,0.0,0.0,0.0,0.0,0.0,0.282497,poor_contact
1773801574.4695,102016,82219,0.322529,25778.0,28.4,,74.01,0.0,7042.106011,45185.676835,0.09285,7341.011822,0.0,0.0,0.0,0.0,0.0,0.285157,poor_contact
1773801574.4896,102189,82756,0.321653,25778.0,28.4,,74.03,0.0,6807.77451,42721.655714,0.08945,7097.783206,0.0,0.0,0.0,0.0,0.0,0.287249,poor_contact
1773801574.5096,102320,83341,0.320738,25778.0,28.4,,74.0,0.0,6611.654557,40586.181272,0.086381,6876.355702,0.0,0.0,0.0,0.0,0.0,0.288883,poor_contact
1773801574.5297,102410,83470,0.319916,25778.0,28.4,,73.99,0.0,6434.076146,38499.048027,0.083594,6673.816828,0.0,0.0,0.0,0.0,0.0,0.290261,poor_contact
1773801574.5498,102475,83164,0.319275,25778.0,28.4,,74.01,0.0,6261.150342,36264.368311,0.081051,6487.731058,0.0,0.0,0.0,0.0,0.0,0.291529,poor_contact
1773801574.5698,102474,82849,0.318785,25778.0,28.4,,74.08,0.0,6094.461193,33947.115324,0.078721,6316.056598,0.0,0.0,0.0,0.0,0.0,0.292711,poor_contact
1773801574.5899,102424,82629,0.318399,25778.0,28.4,,74.14,0.0,5936.546321,31646.071184,0.076577,6157.074249,0.0,0.0,0.0,0.0,0.0,0.293803,poor_contact
1773801574.6099,102428,82690,0.318041,25778.0,28.4,,74.2,0.0,5791.088845,29515.719706,0.074595,6009.328856,0.0,0.0,0.0,0.0,0.0,0.294767,poor_contact
1773801574.63,102418,82764,0.317706,25778.0,28.4,,74.25,0.0,5656.76966,27555.363201,0.072757,5871.581885,0.0,0.0,0.0,0.0,0.0,0.295618,poor_contact
1773801574.65,102364,82711,0.317413,25778.0,28.4,,74.29,0.0,5530.597416,25705.662066,0.071046,5742.773244,0.0,0.0,0.0,0.0,0.0,0.296396,poor_contact
1773801574.6701,102209,82374,0.317207,25778.0,28.4,,74.34,0.0,5408.851068,23861.581841,0.069449,5621.990572,0.0,0.0,0.0,0.0,0.0,0.297159,poor_contact
1773801574.6902,102041,82080,0.317069,25778.0,28.4,,74.38,0.0,5292.567233,22061.822552,0.067954,5508.444464,0.0,0.0,0.0,0.0,0.0,0.297901,poor_contact
1773801574.7102,101935,82033,0.31695,25778.0,28.4,,74.42,0.0,5183.196649,20403.510214,0.066551,5401.448424,0.0,0.0,0.0,0.0,0.0,0.298587,poor_contact
1773801574.7303,101921,82195,0.316815,25778.0,28.4,,74.45,0.0,5081.293012,18944.198486,0.06523,5300.402562,0.0,0.0,0.0,0.0,0.0,0.299195,poor_contact
1773801574.7503,101979,82367,0.316665,25778.0,28.4,,74.48,0.0,4986.334604,17662.359171,0.063984,5204.78026,0.0,0.0,0.0,0.0,0.0,0.299731,poor_contact
1773801574.7704,102149,82339,0.316531,25778.0,28.4,,74.51,0.0,4896.305219,16477.527081,0.062807,5114.117218,0.0,0.0,0.0,0.0,0.0,0.30023,poor_contact
