timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773893412.8968,57940,57865,0.0,0.0,26.6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,poor_contact
1773893413.2494,74241,74190,0.247245,16325.0,26.6,,,0.0,8162.5,46298.314661,0.123623,8162.5,0.0,0.0,0.0,0.0,0.0,0.123623,poor_contact
1773893413.2694,90662,90643,0.441558,32778.0,26.6,,,0.0,13381.596475,69426.19733,0.180696,13381.596475,0.0,0.0,0.0,0.0,0.0,0.220491,poor_contact
1773893413.2895,107106,107157,0.597741,49292.0,26.6,,,0.0,18372.603019,93635.961288,0.223383,18372.603019,0.0,0.0,0.0,0.0,0.0,0.298298,poor_contact
1773893413.3095,110460,122279,0.712333,64414.0,26.6,,,0.0,22884.114459,118092.899606,0.253659,22884.114459,0.0,0.0,0.0,0.0,0.0,0.36009,poor_contact
1773893413.3296,110460,122572,0.675549,64707.0,26.6,,,0.0,24081.487964,131780.149777,0.253341,24081.487964,0.0,0.0,0.0,0.0,0.0,0.395882,poor_contact
1773893413.3497,110459,122575,0.649623,64710.0,26.6,,,0.0,24185.928423,139325.741248,0.245159,24185.928423,0.0,0.0,0.0,0.0,0.0,0.419094,poor_contact
1773893413.3697,110451,122548,0.631449,64710.0,26.6,,,0.0,23861.668325,142908.587314,0.2351,23864.508444,0.0,0.0,0.0,0.0,0.0,0.435379,poor_contact
1773893413.3898,110470,122560,0.617993,64710.0,26.6,,,0.0,23365.426731,143737.147282,0.22503,23368.991839,0.0,0.0,0.0,0.0,0.0,0.447422,poor_contact
1773893413.4098,110494,122614,0.60797,64749.0,26.6,,88.23,0.0,22807.871387,142570.31556,0.215571,22810.828824,0.0,0.0,0.0,0.0,0.0,0.456708,poor_contact
1773893413.4299,110548,122682,0.600317,64817.0,26.6,,88.16,0.0,22238.445573,139925.160283,0.206892,22240.950494,0.0,0.0,0.0,0.0,0.0,0.464106,poor_contact
1773893413.4499,110579,122735,0.594039,64870.0,26.6,,88.1,0.0,21679.164899,136178.715207,0.198985,21681.321738,0.0,0.0,0.0,0.0,0.0,0.470141,poor_contact
1773893413.47,110618,122805,0.589035,64940.0,26.6,,88.06,0.0,21141.738337,131650.359142,0.191796,21143.620007,0.0,0.0,0.0,0.0,0.0,0.475168,poor_contact
1773893413.49,110636,122809,0.584316,64944.0,26.6,,88.01,0.0,20627.923718,126553.536845,0.185242,20629.58405,0.0,0.0,0.0,0.0,0.0,0.479402,poor_contact
1773893413.5101,110634,122806,0.580258,64944.0,26.6,,87.97,0.0,20139.620581,121095.732244,0.179253,20141.207798,0.0,0.0,0.0,0.0,0.0,0.483018,poor_contact
1773893413.5302,110597,122741,0.576773,64944.0,26.6,,87.94,0.0,19675.152989,115415.842095,0.173765,19678.776295,0.0,0.0,0.0,0.0,0.0,0.486159,poor_contact
1773893413.5502,110559,122701,0.573745,64944.0,26.6,,87.91,0.0,19235.135326,109667.554663,0.168721,19241.572323,0.0,0.0,0.0,0.0,0.0,0.488909,poor_contact
1773893413.5703,110523,122616,0.571104,64944.0,26.6,,87.88,0.0,18817.391879,103936.717863,0.164069,18828.378603,0.0,0.0,0.0,0.0,0.0,0.491349,poor_contact
1773893413.5903,110477,122529,0.568784,64944.0,26.6,,87.86,0.0,18420.909344,98307.074971,0.159765,18437.756965,0.0,0.0,0.0,0.0,0.0,0.493534,poor_contact
1773893413.6104,110419,122419,0.56674,64944.0,26.6,,87.84,0.0,18044.042532,92830.870167,0.155771,18068.203861,0.0,0.0,0.0,0.0,0.0,0.495509,poor_contact
1773893413.6304,110333,122261,0.564939,64944.0,26.6,,87.83,0.0,17684.749889,87534.414147,0.152054,17718.235878,0.0,0.0,0.0,0.0,0.0,0.497316,poor_contact
1773893413.6505,110254,122084,0.563352,64944.0,26.6,,87.81,0.0,17341.800233,82444.79625,0.148583,17386.435067,0.0,0.0,0.0,0.0,0.0,0.498984,poor_contact
1773893413.6705,110165,121829,0.561964,64944.0,26.6,,87.8,0.0,17013.094407,77557.220863,0.145336,17071.471029,0.0,0.0,0.0,0.0,0.0,0.500546,poor_contact
1773893413.6906,110039,121530,0.560758,64944.0,26.6,,87.79,0.0,16697.467395,72875.900682,0.142289,16772.109582,0.0,0.0,0.0,0.0,0.0,0.502026,poor_contact
1773893413.7107,109918,121200,0.559717,64944.0,26.6,,87.79,0.0,16394.111897,68404.361199,0.139423,16487.213761,0.0,0.0,0.0,0.0,0.0,0.503439,poor_contact
1773893413.7307,109771,120854,0.558824,64944.0,26.6,,87.78,0.0,16102.494504,64146.038406,0.136722,16215.740579,0.0,0.0,0.0,0.0,0.0,0.504796,poor_contact
1773893413.7508,109641,120531,0.558056,64944.0,26.6,,87.78,0.0,15822.489878,60111.164098,0.134171,15956.735568,0.0,0.0,0.0,0.0,0.0,0.506101,poor_contact
1773893413.7708,109521,120235,0.557396,64944.0,26.6,,87.78,0.0,15553.877255,56304.789509,0.131756,15709.32632,0.0,0.0,0.0,0.0,0.0,0.507356,poor_contact
1773893413.7909,109398,119984,0.556824,64944.0,26.6,,87.78,0.0,15296.469839,52731.754143,0.129467,15472.715726,0.0,0.0,0.0,0.0,0.0,0.508559,poor_contact
1773893413.8109,109332,119792,0.556322,64944.0,26.6,,87.78,0.0,15050.055334,49395.571039,0.127293,15246.17532,0.0,0.0,0.0,0.0,0.0,0.509707,poor_contact
1773893413.831,109256,119648,0.555875,64944.0,26.6,,87.78,0.0,14814.246386,46292.747075,0.125224,15029.038962,0.0,0.0,0.0,0.0,0.0,0.5108,poor_contact
1773893413.851,109220,119543,0.555472,64944.0,26.6,,87.78,0.0,14588.563892,43415.158598,0.123253,14820.696953,0.0,0.0,0.0,0.0,0.0,0.511838,poor_contact
1773893413.8711,109059,119315,0.555127,64944.0,26.6,,87.78,0.0,14371.705633,40718.229112,0.121371,14620.590645,0.0,0.0,0.0,0.0,0.0,0.512841,poor_contact
1773893413.8912,109052,119120,0.55483,64944.0,26.6,,87.78,0.0,14163.354922,38197.324599,0.119573,14428.207531,0.0,0.0,0.0,0.0,0.0,0.51381,poor_contact
1773893413.9112,108987,119172,0.554543,64944.0,26.6,,87.78,0.0,13964.021805,35888.974532,0.117853,14243.076812,0.0,0.0,0.0,0.0,0.0,0.514715,poor_contact
1773893413.9313,108982,119045,0.554289,64944.0,26.6,,87.78,0.0,13772.3725,33738.532853,0.116205,14064.76541,0.0,0.0,0.0,0.0,0.0,0.515586,poor_contact
1773893413.9513,108947,118928,0.554064,64944.0,26.6,,87.79,0.0,13587.98783,31735.4237,0.114624,13892.874381,0.0,0.0,0.0,0.0,0.0,0.516422,poor_contact
1773893413.9714,108899,118787,0.553868,64944.0,26.6,,87.79,0.0,13410.370681,29863.748226,0.113106,13727.035702,0.0,0.0,0.0,0.0,0.0,0.51723,poor_contact
1773893413.9914,108807,118591,0.553706,64944.0,26.6,,87.79,0.0,13239.009723,28104.341404,0.111646,13566.909388,0.0,0.0,0.0,0.0,0.0,0.518018,poor_contact
1773893414.0115,108752,118492,0.553564,64944.0,26.6,,87.79,0.0,13073.822456,26464.955708,0.110242,13412.180917,0.0,0.0,0.0,0.0,0.0,0.518777,poor_contact
1773893414.0315,108723,118457,0.553434,64944.0,26.6,,87.8,0.0,12914.593092,24945.564305,0.108889,13262.558908,0.0,0.0,0.0,0.0,0.0,0.519503,poor_contact
1773893414.0516,108694,118408,0.553315,64944.0,26.6,,87.8,0.0,12760.946154,23533.578161,0.107585,13117.773056,0.0,0.0,0.0,0.0,0.0,0.520199,poor_contact
1773893414.0717,108667,118430,0.553199,64944.0,26.6,,87.8,0.0,12612.696923,22229.814429,0.106327,12977.572261,0.0,0.0,0.0,0.0,0.0,0.52086,poor_contact
1773893414.0917,108641,118344,0.553097,64944.0,26.6,,87.8,0.0,12469.345386,21009.801615,0.105111,12841.72296,0.0,0.0,0.0,0.0,0.0,0.521499,poor_contact
1773893414.1118,108609,118349,0.553,64944.0,26.6,,87.8,0.0,12330.781146,19878.801826,0.103937,12710.007621,0.0,0.0,0.0,0.0,0.0,0.522109,poor_contact
1773893414.1318,108584,118271,0.552915,64944.0,26.6,,87.81,0.0,12196.61733,18818.629675,0.102801,12582.223386,0.0,0.0,0.0,0.0,0.0,0.5227,poor_contact
1773893414.1519,108562,118221,0.552838,64944.0,26.6,,87.81,0.0,12066.67145,17827.211262,0.101702,12458.180851,0.0,0.0,0.0,0.0,0.0,0.523271,poor_contact
1773893414.1719,108536,118192,0.552768,64944.0,26.6,,87.81,0.0,11940.756037,16901.507487,0.100637,12337.70296,0.0,0.0,0.0,0.0,0.0,0.52382,poor_contact
1773893414.192,108543,118076,0.552712,64944.0,26.6,,87.81,0.0,11818.575207,16026.468894,0.099604,12220.624011,0.0,0.0,0.0,0.0,0.0,0.524357,poor_contact
1773893414.212,108535,118049,0.55266,64944.0,26.6,,87.82,0.0,11700.044343,15208.267241,0.098603,12106.788748,0.0,0.0,0.0,0.0,0.0,0.524875,poor_contact
1773893414.2321,108516,118053,0.55261,64944.0,26.6,,87.82,0.0,11585.013276,14445.59592,0.097632,11996.051549,0.0,0.0,0.0,0.0,0.0,0.525373,poor_contact
1773893414.2521,108477,118043,0.552563,64944.0,26.6,,87.82,0.0,11473.301016,13732.486667,0.096689,11888.275675,0.0,0.0,0.0,0.0,0.0,0.525852,poor_contact
1773893414.2722,108412,117957,0.552525,64944.0,26.6,,87.82,0.0,11364.693791,13057.635586,0.095772,11783.332599,0.0,0.0,0.0,0.0,0.0,0.52632,poor_contact
