timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773802106.9757,58056,58114,0.0,0.0,28.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,poor_contact
1773802107.3283,74344,69243,0.174769,11129.0,28.2,,,0.0,5564.5,31557.483304,0.087384,5564.5,0.0,0.0,0.0,0.0,0.0,0.087384,poor_contact
1773802107.3484,82703,68985,0.170045,11129.0,28.2,,,0.0,5186.519342,30230.130751,0.081296,5246.260912,0.0,0.0,0.0,0.0,0.0,0.113363,poor_contact
1773802107.3685,82777,68649,0.167991,11129.0,28.2,,,0.0,4700.743312,28760.435926,0.074058,4818.998359,0.0,0.0,0.0,0.0,0.0,0.125993,poor_contact
1773802107.3885,82424,68190,0.167011,11129.0,28.2,,,0.0,4275.647759,27068.344761,0.068034,4451.6,0.0,0.0,0.0,0.0,0.0,0.133609,poor_contact
1773802107.4086,81858,67665,0.166583,11129.0,28.2,,,0.0,3921.90097,25156.543801,0.063146,4147.53342,0.0,0.0,0.0,0.0,0.0,0.138819,poor_contact
1773802107.4286,80241,66194,0.166802,11129.0,28.2,,,0.0,3637.319107,22374.67005,0.059151,3894.338764,0.0,0.0,0.0,0.0,0.0,0.142973,poor_contact
1773802107.4487,78077,64000,0.167656,11129.0,28.2,,,0.0,3519.308029,18486.966602,0.055847,3680.570793,0.0,0.0,0.0,0.0,0.0,0.146699,poor_contact
1773802107.4688,76100,62024,0.168887,11129.0,28.2,,,0.0,3589.346335,13959.567681,0.053077,3497.507275,0.0,0.0,0.0,0.0,0.0,0.150122,poor_contact
1773802107.4888,74723,60637,0.170246,11129.0,28.2,,70.0,0.0,3752.89271,9362.622175,0.050719,3338.7,0.0,0.0,0.0,0.0,0.0,0.153221,poor_contact
1773802107.5089,74039,60249,0.171467,11129.0,28.2,,70.0,0.0,3869.267616,5373.239374,0.048681,3199.362553,0.0,0.0,0.0,0.0,0.0,0.155879,poor_contact
1773802107.5289,74617,61369,0.172249,11129.0,28.2,,70.0,0.0,3831.252612,2791.831482,0.046888,3075.893108,0.0,0.0,0.0,0.0,0.0,0.157895,poor_contact
1773802107.549,76321,63757,0.172424,11129.0,28.2,,70.0,0.0,3687.95823,2052.267187,0.045279,2965.537452,0.0,0.0,0.0,0.0,0.0,0.159161,poor_contact
1773802107.569,78529,66350,0.17208,11129.0,28.2,,70.0,0.0,3584.102765,2855.910532,0.043813,2866.155725,0.0,0.0,0.0,0.0,0.0,0.159789,poor_contact
1773802107.5891,80581,68133,0.171469,11129.0,28.2,,70.0,0.0,3568.498703,4412.943107,0.042466,2776.060337,0.0,0.0,0.0,0.0,0.0,0.160038,poor_contact
1773802107.6092,82070,68911,0.17081,11129.0,28.2,,70.0,0.0,3588.747969,6022.248024,0.041223,2693.901979,0.0,0.0,0.0,0.0,0.0,0.160134,poor_contact
1773802107.6292,82879,69324,0.171408,11210.0,28.2,,70.0,0.0,3617.188312,7470.885698,0.040091,2619.848466,0.0,0.0,0.0,0.0,0.0,0.160232,poor_contact
1773802107.6493,82980,69318,0.170839,11210.0,28.2,,70.0,0.0,3628.049598,8580.218552,0.039039,2551.533456,0.0,0.0,0.0,0.0,0.0,0.160319,poor_contact
1773802107.6693,83005,69418,0.171748,11304.0,28.2,,70.0,0.0,3631.834323,9455.238988,0.038078,2489.647322,0.0,0.0,0.0,0.0,0.0,0.160459,poor_contact
1773802107.6894,82672,69049,0.171327,11304.0,28.2,,70.0,0.0,3609.26212,9940.40156,0.037178,2432.005125,0.0,0.0,0.0,0.0,0.0,0.160629,poor_contact
1773802107.7095,81622,67850,0.171096,11304.0,28.2,,70.0,0.0,3544.745158,9787.367182,0.036336,2378.149319,0.0,0.0,0.0,0.0,0.0,0.160921,poor_contact
1773802107.7295,80060,66157,0.171086,11304.0,28.2,,70.0,0.0,3463.295434,8952.785814,0.035549,2327.687506,0.0,0.0,0.0,0.0,0.0,0.161374,poor_contact
1773802107.7496,78449,64422,0.171272,11304.0,28.2,,70.0,0.0,3403.844075,7580.623145,0.034812,2280.281198,0.0,0.0,0.0,0.0,0.0,0.161972,poor_contact
1773802107.7696,77100,62966,0.171601,11304.0,28.2,,70.0,0.0,3386.893758,5898.18493,0.034122,2235.636803,0.0,0.0,0.0,0.0,0.0,0.162671,poor_contact
1773802107.7897,76218,62038,0.172001,11304.0,28.2,,70.0,0.0,3402.533587,4161.677078,0.033475,2193.498351,0.0,0.0,0.0,0.0,0.0,0.163409,poor_contact
1773802107.8098,75873,61750,0.172402,11304.0,28.2,,70.0,0.0,3422.713985,2598.436932,0.032868,2153.641594,0.0,0.0,0.0,0.0,0.0,0.164121,poor_contact
1773802107.8298,76077,62110,0.172739,11304.0,28.2,,70.0,0.0,3421.622929,1378.607975,0.032295,2115.869171,0.0,0.0,0.0,0.0,0.0,0.164749,poor_contact
1773802107.8499,76779,62977,0.172972,11304.0,28.2,,70.0,0.0,3390.906428,585.615627,0.031753,2080.006646,0.0,0.0,0.0,0.0,0.0,0.165257,poor_contact
1773802107.8699,77745,64023,0.173093,11304.0,28.2,,70.0,0.0,3340.739098,189.183306,0.031239,2045.899219,0.0,0.0,0.0,0.0,0.0,0.165639,poor_contact
1773802107.89,78678,64738,0.173143,11304.0,28.2,,70.0,0.0,3286.169949,32.033293,0.030749,2013.408994,0.0,0.0,0.0,0.0,0.0,0.165936,poor_contact
1773802107.9101,78689,64059,0.173248,11304.0,28.2,,70.0,0.0,3240.005612,-263.639269,0.030282,1982.412699,0.0,0.0,0.0,0.0,0.0,0.166269,poor_contact
1773802107.9301,77184,61895,0.173527,11304.0,28.2,,70.0,0.0,3241.884211,-1006.780574,0.029838,1952.799755,0.0,0.0,0.0,0.0,0.0,0.166755,poor_contact
1773802107.9502,71761,56158,0.204408,13260.0,28.2,,70.9,0.0,3544.485019,-2882.854466,0.03012,1966.398694,0.0,0.0,0.0,0.0,0.0,0.168574,poor_contact
1773802107.9702,71910,56420,0.205194,13260.0,28.2,,70.96,0.0,3772.57805,-4424.334282,0.03037,1976.675271,0.0,0.0,0.0,0.0,0.0,0.170281,poor_contact
1773802107.9903,72795,57675,0.205826,13260.0,28.2,,71.01,0.0,3894.242204,-5483.413082,0.030588,1984.159409,0.0,0.0,0.0,0.0,0.0,0.171806,poor_contact
1773802108.0103,75499,60661,0.20616,13260.0,28.2,,71.04,0.0,3889.234804,-5810.786403,0.030768,1989.284877,0.0,0.0,0.0,0.0,0.0,0.173032,poor_contact
1773802108.0304,77484,62752,0.206296,13260.0,28.2,,71.06,0.0,3844.722326,-5694.395444,0.03091,1992.409761,0.0,0.0,0.0,0.0,0.0,0.174042,poor_contact
1773802108.0505,78401,63853,0.206332,13260.0,28.2,,71.08,0.0,3794.402188,-5382.997361,0.031017,1993.831874,0.0,0.0,0.0,0.0,0.0,0.174921,poor_contact
1773802108.0705,78448,64132,0.206343,13260.0,28.2,,71.09,0.0,3745.499408,-5048.028361,0.031092,1993.800543,0.0,0.0,0.0,0.0,0.0,0.175736,poor_contact
1773802108.0906,79701,65833,0.206217,13260.0,28.2,,71.09,0.0,3706.509282,-4469.446038,0.031138,1992.525734,0.0,0.0,0.0,0.0,0.0,0.176393,poor_contact
1773802108.1106,80808,67255,0.205986,13260.0,28.2,,71.09,0.0,3689.274413,-3733.183095,0.031155,1990.185197,0.0,0.0,0.0,0.0,0.0,0.176922,poor_contact
1773802108.1307,81805,68450,0.205676,13260.0,28.2,,71.07,0.0,3697.698129,-2902.104726,0.031145,1986.930129,0.0,0.0,0.0,0.0,0.0,0.177347,poor_contact
1773802108.1508,82624,69636,0.208669,13478.0,28.2,,71.69,0.0,3736.459562,-1997.106947,0.031189,1987.717092,0.0,0.0,0.0,0.0,0.0,0.177753,poor_contact
1773802108.1708,82401,69981,0.213605,13823.0,28.2,,72.62,0.0,3780.110322,-1148.108488,0.031336,1995.753983,0.0,0.0,0.0,0.0,0.0,0.178239,poor_contact
1773802108.1909,81320,68983,0.213292,13823.0,28.2,,72.6,0.0,3790.498067,-525.272206,0.031446,2002.081993,0.0,0.0,0.0,0.0,0.0,0.178763,poor_contact
