timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773801815.9107,57885,52777,0.0,0.0,28.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,poor_contact
1773801816.2633,57434,52538,0.004539,239.0,28.3,,,0.0,119.5,-677.759839,0.002269,119.5,0.0,0.0,0.0,0.0,1.0,0.002269,poor_contact
1773801816.2834,57144,52390,0.007362,387.0,28.3,,,0.0,159.441386,-877.977878,0.003033,159.441386,0.0,0.0,0.0,0.0,1.0,0.003969,poor_contact
1773801816.3034,56982,52331,0.008494,446.0,28.3,,,0.0,172.126407,-990.995711,0.003277,172.126407,0.0,0.0,0.0,0.0,1.0,0.005104,poor_contact
1773801816.3235,56736,52251,0.010027,526.0,28.3,,,0.0,185.343573,-1103.638722,0.003532,185.343573,0.0,0.0,0.0,0.0,1.0,0.006093,poor_contact
1773801816.3435,56892,52410,0.010029,526.0,28.3,,,0.0,170.114422,-1030.037082,0.003544,185.859266,0.0,0.0,0.0,0.0,1.0,0.006749,poor_contact
1773801816.3636,56932,52407,0.01003,526.0,28.3,,,0.0,158.195952,-965.979515,0.003477,182.294783,0.0,0.0,0.0,0.0,1.0,0.007219,poor_contact
1773801816.3837,56943,52301,0.010033,526.0,28.3,,,0.0,155.29483,-979.243684,0.003384,177.35487,0.0,0.0,0.0,0.0,1.0,0.007573,poor_contact
1773801816.4037,56897,52176,0.01147,601.0,28.3,,,0.0,166.10602,-1059.575179,0.003418,179.080987,0.0,0.0,0.0,0.0,1.0,0.008009,poor_contact
1773801816.4238,57143,52381,0.01147,601.0,28.3,,70.0,0.0,157.663439,-977.219416,0.003406,178.388228,0.0,0.0,0.0,0.0,1.0,0.008356,poor_contact
1773801816.4438,57525,52633,0.011466,601.0,28.3,,70.0,0.0,165.021812,-744.510919,0.003369,176.438644,0.0,0.0,0.0,0.0,1.0,0.008635,poor_contact
1773801816.4639,57219,52469,0.011465,601.0,28.3,,70.0,0.0,158.630598,-647.428342,0.003319,173.832774,0.0,0.0,0.0,0.0,1.0,0.00887,poor_contact
1773801816.484,57340,52735,0.011459,601.0,28.3,,70.0,0.0,173.736521,-410.076168,0.003263,170.899708,0.0,0.0,0.0,0.0,1.0,0.009066,poor_contact
1773801816.504,57276,52790,0.011702,614.0,28.3,,70.0,0.0,189.403427,-184.056901,0.003217,168.503755,0.0,0.0,0.0,0.0,1.0,0.00925,poor_contact
1773801816.5241,57212,52836,0.012573,660.0,28.3,,70.04,0.0,204.420808,24.856154,0.003216,168.518248,0.0,0.0,0.0,0.0,1.0,0.009468,poor_contact
1773801816.5441,56985,52505,0.012572,660.0,28.3,,70.03,0.0,197.944397,27.601541,0.003203,167.869823,0.0,0.0,0.0,0.0,1.0,0.009662,poor_contact
1773801816.5642,55612,51116,0.032815,1720.0,28.3,,79.66,0.0,377.165452,-637.28625,0.006271,328.568574,0.0,0.0,0.0,0.0,1.0,0.011038,poor_contact
1773801816.5842,53942,49580,0.062307,3256.0,28.3,,82.19,0.0,745.586719,-1876.489804,0.013232,691.44991,0.0,0.0,0.0,0.0,1.0,0.013917,poor_contact
1773801816.6043,52261,48117,0.090682,4719.0,28.3,,82.63,0.0,1175.264982,-3510.52278,0.021448,1116.881854,0.0,0.0,0.0,0.0,1.0,0.018013,poor_contact
1773801816.6244,51306,47373,0.105452,5463.0,28.3,,82.34,0.0,1531.790116,-5128.786549,0.028301,1468.985203,0.0,0.0,0.0,0.0,0.0,0.022462,poor_contact
1773801816.6444,51392,47500,0.105871,5463.0,28.3,,82.33,0.0,1753.699217,-6367.743532,0.032856,1701.015816,0.0,0.0,0.0,0.0,0.0,0.026519,poor_contact
1773801816.6645,52346,48348,0.106175,5463.0,28.3,,82.32,0.0,1842.481156,-7022.863013,0.036159,1867.988338,0.0,0.0,0.0,0.0,0.0,0.030212,poor_contact
1773801816.6845,53732,49578,0.106343,5463.0,28.3,,82.32,0.0,1842.100119,-7075.893706,0.038647,1993.233681,0.0,0.0,0.0,0.0,0.0,0.033568,poor_contact
1773801816.7046,54840,50532,0.106416,5463.0,28.3,,82.32,0.0,1811.098606,-6748.762255,0.040561,2089.388387,0.0,0.0,0.0,0.0,0.0,0.036625,poor_contact
1773801816.7246,55354,51000,0.106444,5463.0,28.3,,82.32,0.0,1775.731117,-6282.417027,0.042053,2164.218032,0.0,0.0,0.0,0.0,0.0,0.039427,poor_contact
1773801816.7447,55344,51110,0.106461,5463.0,28.3,,82.31,0.0,1741.729165,-5820.925181,0.043224,2222.879405,0.0,0.0,0.0,0.0,0.0,0.042011,poor_contact
