timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773928583.2199,58012,58093,0.0,0.0,30.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,poor_contact
1773928583.5725,74452,74348,0.245468,16255.0,30.1,,,0.0,8127.5,46092.966582,0.122734,8127.5,0.0,0.0,0.0,0.0,0.0,0.122734,poor_contact
1773928583.5926,90659,90752,0.438979,32659.0,30.1,,,0.0,13333.027171,69150.422287,0.17963,13333.027171,0.0,0.0,0.0,0.0,0.0,0.219156,poor_contact
1773928583.6126,107147,103867,0.559824,45774.0,30.1,,,0.0,17209.300146,89673.612607,0.211723,17209.300146,0.0,0.0,0.0,0.0,0.0,0.289513,poor_contact
1773928583.6327,108434,104157,0.534116,46064.0,30.1,,,0.0,17808.769622,99011.75773,0.209336,17808.769622,0.0,0.0,0.0,0.0,0.0,0.326406,poor_contact
1773928583.6528,108433,104156,0.516246,46064.0,30.1,,,0.0,17574.345615,103286.626624,0.200247,17574.487181,0.0,0.0,0.0,0.0,0.0,0.348946,poor_contact
1773928583.6728,108321,104165,0.504277,46072.0,30.1,,,0.0,17089.532927,104730.893042,0.190232,17089.639875,0.0,0.0,0.0,0.0,0.0,0.36415,poor_contact
1773928583.6929,108216,104191,0.495858,46098.0,30.1,,,0.0,16539.205153,104347.129795,0.180756,16539.289727,0.0,0.0,0.0,0.0,0.0,0.375118,poor_contact
1773928583.7129,108090,104181,0.4893,46098.0,30.1,,,0.0,15986.664768,102653.030975,0.172148,15987.427019,0.0,0.0,0.0,0.0,0.0,0.383394,poor_contact
1773928583.733,108052,104190,0.484172,46098.0,30.1,,83.43,0.0,15458.853444,100019.265686,0.164429,15459.549986,0.0,0.0,0.0,0.0,0.0,0.389856,poor_contact
1773928583.7531,108065,104184,0.480058,46098.0,30.1,,83.45,0.0,14963.510228,96695.612687,0.157522,14964.451959,0.0,0.0,0.0,0.0,0.0,0.395045,poor_contact
1773928583.7731,108049,104204,0.47681,46111.0,30.1,,83.47,0.0,14503.683798,92903.411509,0.151331,14504.500034,0.0,0.0,0.0,0.0,0.0,0.399307,poor_contact
1773928583.7932,107994,104190,0.473989,46111.0,30.1,,83.49,0.0,14076.618581,88786.625141,0.145757,14077.863904,0.0,0.0,0.0,0.0,0.0,0.402871,poor_contact
1773928583.8132,108012,104193,0.471596,46111.0,30.1,,83.5,0.0,13680.810303,84492.646246,0.140715,13682.283746,0.0,0.0,0.0,0.0,0.0,0.405891,poor_contact
1773928583.8333,108003,104186,0.469544,46111.0,30.1,,83.51,0.0,13313.268816,80125.309706,0.136133,13315.12752,0.0,0.0,0.0,0.0,0.0,0.408487,poor_contact
1773928583.8533,108025,104196,0.46776,46111.0,30.1,,83.51,0.0,12971.866687,75780.588434,0.13195,12973.759761,0.0,0.0,0.0,0.0,0.0,0.410736,poor_contact
1773928583.8734,108040,104185,0.4662,46111.0,30.1,,83.52,0.0,12653.516219,71513.304978,0.128115,12655.701942,0.0,0.0,0.0,0.0,0.0,0.41271,poor_contact
1773928583.8935,108071,104188,0.464822,46111.0,30.1,,83.53,0.0,12356.337696,67380.102761,0.124583,12358.693188,0.0,0.0,0.0,0.0,0.0,0.414452,poor_contact
1773928583.9135,108038,104191,0.463595,46111.0,30.1,,83.54,0.0,12078.272857,63414.827792,0.12132,12080.703447,0.0,0.0,0.0,0.0,0.0,0.416002,poor_contact
1773928583.9336,107986,104177,0.462499,46111.0,30.1,,83.54,0.0,11817.169941,59632.508306,0.118293,11819.924642,0.0,0.0,0.0,0.0,0.0,0.417393,poor_contact
1773928583.9536,107882,104181,0.461511,46111.0,30.1,,83.54,0.0,11571.796317,56054.419508,0.115477,11574.752508,0.0,0.0,0.0,0.0,0.0,0.418645,poor_contact
1773928583.9737,107813,104203,0.460612,46111.0,30.1,,83.54,0.0,11341.000917,52692.32284,0.112848,11343.7654,0.0,0.0,0.0,0.0,0.0,0.419774,poor_contact
1773928583.9938,107723,104172,0.459801,46111.0,30.1,,83.55,0.0,11122.636413,49525.381692,0.110388,11125.703143,0.0,0.0,0.0,0.0,0.0,0.420807,poor_contact
1773928584.0138,107611,104187,0.459056,46111.0,30.1,,83.54,0.0,10916.334793,46567.706045,0.108079,10919.447292,0.0,0.0,0.0,0.0,0.0,0.421748,poor_contact
1773928584.0339,107529,104169,0.458377,46111.0,30.1,,83.54,0.0,10720.614237,43800.502302,0.105908,10724.003368,0.0,0.0,0.0,0.0,0.0,0.422614,poor_contact
1773928584.0539,107451,104161,0.457753,46111.0,30.1,,83.54,0.0,10534.755672,41219.317413,0.10386,10538.485169,0.0,0.0,0.0,0.0,0.0,0.423412,poor_contact
1773928584.074,107347,104162,0.457177,46111.0,30.1,,83.54,0.0,10358.085545,38817.172183,0.101926,10362.101084,0.0,0.0,0.0,0.0,0.0,0.424149,poor_contact
1773928584.094,107249,104141,0.456646,46111.0,30.1,,83.54,0.0,10189.642264,36577.180425,0.100094,10194.142212,0.0,0.0,0.0,0.0,0.0,0.424835,poor_contact
1773928584.1141,107131,104130,0.456155,46111.0,30.1,,83.53,0.0,10028.92751,34492.338733,0.098357,10033.9721,0.0,0.0,0.0,0.0,0.0,0.425474,poor_contact
1773928584.1342,107095,104140,0.455696,46111.0,30.1,,83.53,0.0,9875.58778,32557.54909,0.096707,9881.017878,0.0,0.0,0.0,0.0,0.0,0.426068,poor_contact
1773928584.1542,107130,104126,0.45527,46111.0,30.1,,83.53,0.0,9728.857005,30755.948496,0.095137,9734.762603,0.0,0.0,0.0,0.0,0.0,0.426624,poor_contact
1773928584.1743,107247,104144,0.454868,46111.0,30.1,,83.52,0.0,9588.569365,29085.402229,0.09364,9594.738648,0.0,0.0,0.0,0.0,0.0,0.427142,poor_contact
1773928584.1943,107187,104247,0.454902,46154.0,30.1,,83.54,0.0,9455.021601,27553.932793,0.092212,9460.900234,0.0,0.0,0.0,0.0,0.0,0.427628,poor_contact
1773928584.2144,107038,104117,0.454551,46154.0,30.1,,83.54,0.0,9325.756415,26100.006976,0.090847,9332.449678,0.0,0.0,0.0,0.0,0.0,0.4281,poor_contact
1773928584.2344,106656,104163,0.454216,46154.0,30.1,,83.53,0.0,9201.967744,24755.673151,0.08954,9209.039609,0.0,0.0,0.0,0.0,0.0,0.428539,poor_contact
1773928584.2545,105155,103870,0.453936,46154.0,30.1,,83.52,0.0,9080.843952,23447.231433,0.088289,9090.352729,0.0,0.0,0.0,0.0,0.0,0.428988,poor_contact
1773928584.2746,104273,104405,0.455159,46312.0,30.1,,83.59,0.0,8968.221079,22327.533549,0.087089,8977.309235,0.0,0.0,0.0,0.0,0.0,0.429392,poor_contact
1773928584.2946,104179,104333,0.454855,46312.0,30.1,,83.57,0.0,8859.092987,21266.544601,0.085936,8868.334747,0.0,0.0,0.0,0.0,0.0,0.429783,poor_contact
1773928584.3147,104108,104231,0.454579,46312.0,30.1,,83.54,0.0,8753.09789,20256.247903,0.084828,8763.194056,0.0,0.0,0.0,0.0,0.0,0.430165,poor_contact
1773928584.3347,104105,104274,0.454312,46312.0,30.1,,83.52,0.0,8651.077111,19317.599585,0.083762,8661.670255,0.0,0.0,0.0,0.0,0.0,0.430522,poor_contact
1773928584.3548,104169,104469,0.454665,46376.0,30.1,,83.54,0.0,8553.834431,18467.688228,0.082735,8563.999937,0.0,0.0,0.0,0.0,0.0,0.430857,poor_contact
