timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773801935.7963,57944,57953,0.0,0.0,28.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,poor_contact
1773801936.1489,74336,60883,0.049312,2930.0,28.5,,,0.0,1465.0,8307.899451,0.024656,1465.0,0.0,0.0,0.0,0.0,0.0,0.024656,poor_contact
1773801936.169,78657,62015,0.067381,4062.0,28.5,,,0.0,1711.599901,9745.7518,0.028477,1711.599901,0.0,0.0,0.0,0.0,0.0,0.038662,poor_contact
1773801936.1891,80418,63188,0.085806,5235.0,28.5,,,0.0,1943.906296,11290.995429,0.03195,1943.906296,0.0,0.0,0.0,0.0,0.0,0.050103,poor_contact
1773801936.2091,81763,63912,0.096752,5959.0,28.5,,,0.0,2090.62339,12540.735763,0.034016,2090.62339,0.0,0.0,0.0,0.0,0.0,0.059055,poor_contact
1773801936.2292,82337,64150,0.099924,6197.0,28.5,,,0.0,2133.620196,13313.830417,0.034457,2133.620196,0.0,0.0,0.0,0.0,0.0,0.065528,poor_contact
1773801936.2492,83591,64941,0.111925,6988.0,28.5,,,0.0,2224.642049,14236.093104,0.035637,2224.642049,0.0,0.0,0.0,0.0,0.0,0.07178,poor_contact
1773801936.2693,84575,65779,0.124513,7826.0,28.5,,,0.0,2356.646926,15299.346533,0.037434,2356.646926,0.0,0.0,0.0,0.0,0.0,0.077954,poor_contact
1773801936.2893,85273,66619,0.136966,8666.0,28.5,,,0.0,2517.487347,16465.09311,0.039653,2517.487347,0.0,0.0,0.0,0.0,0.0,0.084053,poor_contact
1773801936.3094,86312,67628,0.151868,9675.0,28.5,,70.0,0.0,2722.570763,17808.589656,0.042514,2722.570763,0.0,0.0,0.0,0.0,0.0,0.090317,poor_contact
1773801936.3295,87536,68693,0.167394,10740.0,28.5,,70.0,0.0,2965.34387,19307.436009,0.045906,2965.34387,0.0,0.0,0.0,0.0,0.0,0.096744,poor_contact
1773801936.3495,88330,69388,0.177024,11435.0,28.5,,70.0,0.0,3185.636439,20686.08936,0.048926,3185.636439,0.0,0.0,0.0,0.0,0.0,0.102836,poor_contact
1773801936.3696,88666,69578,0.178904,11625.0,28.5,,70.0,0.0,3336.196844,21664.218969,0.050889,3336.196844,0.0,0.0,0.0,0.0,0.0,0.108127,poor_contact
1773801936.3896,88267,69140,0.178089,11625.0,28.5,,70.0,0.0,3388.741173,21974.093751,0.051961,3426.084307,0.0,0.0,0.0,0.0,0.0,0.112667,poor_contact
