timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773798594.0108,57956,57986,0.0,0.0,24.1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,good_contact
1773798594.3634,74350,74353,0.24735,16367.0,24.1,,,0.0,8183.5,46417.585172,0.123675,8183.5,0.0,0.0,0.0,0.0,0.0,0.123675,good_contact
1773798594.3834,90571,90804,0.441215,32818.0,24.1,,,0.0,13397.907026,69538.962327,0.180566,13397.907026,0.0,0.0,0.0,0.0,0.0,0.220419,good_contact
1773798594.4035,105177,107177,0.595677,49191.0,24.1,,,0.0,18338.449703,93592.006367,0.222691,18338.449703,0.0,0.0,0.0,0.0,0.0,0.29782,good_contact
1773798594.4236,105500,123425,0.721099,65439.0,24.1,,,0.0,23151.009352,118975.550832,0.255495,23151.009352,0.0,0.0,0.0,0.0,0.0,0.361029,good_contact
1773798594.4436,105493,123865,0.684327,65879.0,24.1,,,0.0,24473.582299,133346.800205,0.256012,24473.582299,0.0,0.0,0.0,0.0,0.0,0.397663,good_contact
1773798594.4637,105500,123911,0.657821,65925.0,24.1,,,0.0,24636.485224,141374.899576,0.248104,24636.485224,0.0,0.0,0.0,0.0,0.0,0.421397,good_contact
1773798594.4837,105485,123895,0.638951,65925.0,24.1,,,0.0,24339.396341,145291.072653,0.23809,24341.099282,0.0,0.0,0.0,0.0,0.0,0.438014,good_contact
1773798594.5038,105498,123927,0.625137,65941.0,24.1,,,0.0,23855.984426,146354.9915,0.227985,23857.357034,0.0,0.0,0.0,0.0,0.0,0.450296,good_contact
1773798594.5239,105503,123910,0.614403,65941.0,24.1,,89.87,0.0,23297.179173,145292.477546,0.21844,23299.528151,0.0,0.0,0.0,0.0,0.0,0.459748,good_contact
1773798594.5439,105487,123964,0.606204,65978.0,24.1,,89.78,0.0,22722.163915,142687.163256,0.209656,22724.153723,0.0,0.0,0.0,0.0,0.0,0.467254,good_contact
1773798594.564,105486,123971,0.599324,65985.0,24.1,,89.69,0.0,22153.235843,138912.110341,0.201638,22154.950162,0.0,0.0,0.0,0.0,0.0,0.473354,good_contact
1773798594.584,105510,124000,0.59382,66014.0,24.1,,89.63,0.0,21604.065954,134306.188151,0.19434,21605.563008,0.0,0.0,0.0,0.0,0.0,0.478417,good_contact
1773798594.6041,105519,124028,0.589204,66042.0,24.1,,89.57,0.0,21079.98895,129130.617969,0.187692,21081.310938,0.0,0.0,0.0,0.0,0.0,0.48269,good_contact
1773798594.6241,105522,124046,0.585202,66060.0,24.1,,89.52,0.0,20582.532134,123592.749053,0.18162,20583.710607,0.0,0.0,0.0,0.0,0.0,0.486342,good_contact
1773798594.6442,105517,124066,0.581777,66080.0,24.1,,89.48,0.0,20111.919575,117865.389308,0.176058,20112.978588,0.0,0.0,0.0,0.0,0.0,0.489502,good_contact
1773798594.6643,105530,124101,0.578932,66115.0,24.1,,89.45,0.0,19667.754619,112090.856182,0.170948,19668.71279,0.0,0.0,0.0,0.0,0.0,0.492266,good_contact
1773798594.6843,105521,124093,0.576159,66115.0,24.1,,89.42,0.0,19247.441376,106351.539238,0.166235,19248.529489,0.0,0.0,0.0,0.0,0.0,0.494701,good_contact
1773798594.7044,105529,124104,0.573724,66118.0,24.1,,89.39,0.0,18850.13266,100736.561257,0.161874,18851.12889,0.0,0.0,0.0,0.0,0.0,0.496858,good_contact
1773798594.7244,105496,124099,0.571529,66118.0,24.1,,89.36,0.0,18473.930082,95295.695717,0.157825,18474.960494,0.0,0.0,0.0,0.0,0.0,0.498785,good_contact
1773798594.7445,105504,124083,0.56956,66118.0,24.1,,89.33,0.0,18117.171365,90064.756432,0.154057,18118.565501,0.0,0.0,0.0,0.0,0.0,0.500519,good_contact
1773798594.7646,105431,123928,0.567817,66118.0,24.1,,89.31,0.0,17775.839177,85018.406049,0.150539,17780.539126,0.0,0.0,0.0,0.0,0.0,0.502115,good_contact
1773798594.7846,105321,123518,0.56632,66118.0,24.1,,89.29,0.0,17444.889038,80093.003458,0.147247,17459.556504,0.0,0.0,0.0,0.0,0.0,0.503641,good_contact
1773798594.8047,105012,122642,0.565132,66118.0,24.1,,89.28,0.0,17118.122397,75167.690558,0.144159,17154.383916,0.0,0.0,0.0,0.0,0.0,0.505191,good_contact
1773798594.8247,104657,121665,0.564231,66118.0,24.1,,89.27,0.0,16797.206092,70270.142097,0.141255,16863.881522,0.0,0.0,0.0,0.0,0.0,0.506779,good_contact
