timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773798699.9555,57940,57855,0.0,0.0,23.9,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,cold_temp
1773798700.3081,74147,74170,0.24715,16315.0,23.9,,,0.0,8157.5,46270.079429,0.123575,8157.5,0.0,0.0,0.0,0.0,0.0,0.123575,cold_temp
1773798700.3282,90590,90745,0.442923,32890.0,23.9,,,0.0,13427.426121,69580.577475,0.181228,13427.426121,0.0,0.0,0.0,0.0,0.0,0.220878,cold_temp
1773798700.3482,107081,107156,0.597722,49301.0,23.9,,,0.0,18389.276202,93738.340449,0.223568,18389.276202,0.0,0.0,0.0,0.0,0.0,0.29857,cold_temp
1773798700.3683,118146,123302,0.72201,65447.0,23.9,,,0.0,23176.334884,119082.588077,0.256113,23176.334884,0.0,0.0,0.0,0.0,0.0,0.361745,cold_temp
1773798700.3883,118469,137952,0.81292,80097.0,23.9,,,0.0,27539.7452,144745.148108,0.279497,27539.7452,0.0,0.0,0.0,0.0,0.0,0.412818,cold_temp
1773798700.4084,118397,138119,0.770395,80264.0,23.9,,,0.0,29017.275391,160523.83097,0.279239,29017.275391,0.0,0.0,0.0,0.0,0.0,0.444693,cold_temp
1773798700.4285,118421,138086,0.740285,80264.0,23.9,,,0.0,29367.499197,169860.286694,0.271777,29371.667418,0.0,0.0,0.0,0.0,0.0,0.466434,cold_temp
1773798700.4485,118390,138062,0.718463,80264.0,23.9,,,0.0,29212.736937,174689.674846,0.262188,29221.763647,0.0,0.0,0.0,0.0,0.0,0.482215,cold_temp
1773798700.4686,118406,138055,0.701914,80264.0,23.9,,89.27,0.0,28818.065202,176204.156774,0.252284,28830.745402,0.0,0.0,0.0,0.0,0.0,0.494189,cold_temp
1773798700.4886,118378,138043,0.688937,80264.0,23.9,,89.14,0.0,28308.569029,175212.857437,0.242749,28324.499071,0.0,0.0,0.0,0.0,0.0,0.503587,cold_temp
1773798700.5087,118396,138072,0.67847,80264.0,23.9,,89.04,0.0,27751.180199,172350.956578,0.233824,27767.625269,0.0,0.0,0.0,0.0,0.0,0.511148,cold_temp
1773798700.5287,118373,138076,0.669857,80264.0,23.9,,88.95,0.0,27178.173688,168080.357224,0.225572,27194.702843,0.0,0.0,0.0,0.0,0.0,0.517366,cold_temp
1773798700.5488,118416,138109,0.662634,80264.0,23.9,,88.88,0.0,26609.611538,162806.197393,0.217978,26624.622611,0.0,0.0,0.0,0.0,0.0,0.522562,cold_temp
1773798700.5689,118387,138105,0.6565,80264.0,23.9,,88.81,0.0,26053.766576,156821.858348,0.210996,26067.688185,0.0,0.0,0.0,0.0,0.0,0.526977,cold_temp
1773798700.5889,118427,138112,0.651223,80264.0,23.9,,88.76,0.0,25516.597486,150390.780802,0.204572,25529.344449,0.0,0.0,0.0,0.0,0.0,0.530771,cold_temp
1773798700.609,118382,138101,0.64664,80264.0,23.9,,88.71,0.0,25000.109769,143708.71845,0.19865,25012.225418,0.0,0.0,0.0,0.0,0.0,0.534071,cold_temp
1773798700.629,118432,138136,0.642746,80281.0,23.9,,88.67,0.0,24506.805406,136959.185314,0.19318,24517.82801,0.0,0.0,0.0,0.0,0.0,0.536965,cold_temp
1773798700.6491,118398,138113,0.639188,80281.0,23.9,,88.64,0.0,24034.86513,130236.296428,0.188112,24045.581165,0.0,0.0,0.0,0.0,0.0,0.539529,cold_temp
1773798700.6692,118427,138121,0.636018,80281.0,23.9,,88.6,0.0,23584.736145,123647.54678,0.183405,23594.968767,0.0,0.0,0.0,0.0,0.0,0.541811,cold_temp
1773798700.6892,118393,138125,0.633175,80281.0,23.9,,88.57,0.0,23155.451463,117257.000674,0.179021,23165.159763,0.0,0.0,0.0,0.0,0.0,0.543856,cold_temp
1773798700.7093,118431,138131,0.630611,80281.0,23.9,,88.55,0.0,22746.048411,111110.80333,0.174927,22755.160183,0.0,0.0,0.0,0.0,0.0,0.545697,cold_temp
1773798700.7293,118389,138164,0.628501,80309.0,23.9,,88.53,0.0,22355.99018,105247.578442,0.171096,22364.470022,0.0,0.0,0.0,0.0,0.0,0.547369,cold_temp
1773798700.7494,118431,138164,0.626379,80309.0,23.9,,88.51,0.0,21983.457261,99670.319728,0.167502,21991.375009,0.0,0.0,0.0,0.0,0.0,0.548891,cold_temp
1773798700.7694,118409,138166,0.624456,80311.0,23.9,,88.49,0.0,21627.452384,94387.22444,0.164122,21634.867423,0.0,0.0,0.0,0.0,0.0,0.550282,cold_temp
1773798700.7895,118430,138158,0.622678,80311.0,23.9,,88.47,0.0,21286.807711,89395.424672,0.160936,21293.903808,0.0,0.0,0.0,0.0,0.0,0.55156,cold_temp
1773798700.8096,118401,138168,0.621054,80313.0,23.9,,88.45,0.0,20960.881789,84695.758561,0.157929,20967.562402,0.0,0.0,0.0,0.0,0.0,0.552735,cold_temp
1773798700.8296,118443,138173,0.619577,80318.0,23.9,,88.44,0.0,20648.680818,80277.550066,0.155083,20654.984758,0.0,0.0,0.0,0.0,0.0,0.553822,cold_temp
1773798700.8497,118396,138187,0.618279,80332.0,23.9,,88.42,0.0,20349.484005,76131.771433,0.152386,20355.44491,0.0,0.0,0.0,0.0,0.0,0.554831,cold_temp
1773798700.8697,118428,138152,0.616977,80332.0,23.9,,88.41,0.0,20061.834003,72232.739933,0.149825,20067.945066,0.0,0.0,0.0,0.0,0.0,0.555773,cold_temp
1773798700.8898,118383,138177,0.61576,80332.0,23.9,,88.4,0.0,19785.833347,68583.131477,0.147389,19791.760205,0.0,0.0,0.0,0.0,0.0,0.556648,cold_temp
1773798700.9099,118420,138148,0.614628,80332.0,23.9,,88.39,0.0,19520.11458,65155.433668,0.14507,19526.216666,0.0,0.0,0.0,0.0,0.0,0.557469,cold_temp
1773798700.9299,118391,138223,0.613833,80368.0,23.9,,88.38,0.0,19265.289157,61959.657498,0.142858,19271.10019,0.0,0.0,0.0,0.0,0.0,0.558235,cold_temp
