timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773798846.2235,57812,57953,0.0,0.0,23.6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,cold_temp
1773798846.5761,74193,74316,0.24742,16363.0,23.6,,,0.0,8181.5,46402.820996,0.12371,8181.5,0.0,0.0,0.0,0.0,0.0,0.12371,cold_temp
1773798846.5962,90664,90667,0.440225,32714.0,23.6,,,0.0,13355.434874,69373.895619,0.180182,13355.434874,0.0,0.0,0.0,0.0,0.0,0.220139,cold_temp
1773798846.6162,107049,107189,0.596574,49236.0,23.6,,,0.0,18342.408298,93538.628742,0.222829,18342.408298,0.0,0.0,0.0,0.0,0.0,0.297805,cold_temp
1773798846.6363,112491,123525,0.722716,65572.0,23.6,,,0.0,23195.541813,119059.004418,0.255998,23195.541813,0.0,0.0,0.0,0.0,0.0,0.361259,cold_temp
1773798846.6564,112408,133880,0.775385,75927.0,23.6,,,0.0,26588.74412,141410.971545,0.272102,26588.74412,0.0,0.0,0.0,0.0,0.0,0.40817,cold_temp
1773798846.6764,112347,133923,0.73711,75970.0,23.6,,,0.0,27652.711862,154852.291712,0.269471,27652.711862,0.0,0.0,0.0,0.0,0.0,0.437703,cold_temp
1773798846.6965,112311,133798,0.710622,75970.0,23.6,,,0.0,27792.029676,162485.542769,0.261272,27807.175077,0.0,0.0,0.0,0.0,0.0,0.458055,cold_temp
1773798846.7165,112277,133769,0.691321,75970.0,23.6,,,0.0,27528.970766,166112.404697,0.251571,27555.922709,0.0,0.0,0.0,0.0,0.0,0.472915,cold_temp
1773798846.7366,112270,133737,0.676638,75970.0,23.6,,89.87,0.0,27078.334251,166783.939938,0.241818,27115.306171,0.0,0.0,0.0,0.0,0.0,0.484247,cold_temp
1773798846.7566,112276,133757,0.66507,75970.0,23.6,,89.74,0.0,26546.457474,165262.740723,0.232542,26588.745331,0.0,0.0,0.0,0.0,0.0,0.49316,cold_temp
1773798846.7767,112279,133797,0.655709,75970.0,23.6,,89.63,0.0,25985.36847,162103.209282,0.223917,26028.919635,0.0,0.0,0.0,0.0,0.0,0.500343,cold_temp
1773798846.7968,112305,133839,0.647974,75970.0,23.6,,89.54,0.0,25421.488295,157733.077054,0.215973,25463.631631,0.0,0.0,0.0,0.0,0.0,0.506251,cold_temp
1773798846.8168,112318,133869,0.641476,75970.0,23.6,,89.47,0.0,24868.191908,152491.0311,0.208678,24907.72342,0.0,0.0,0.0,0.0,0.0,0.511196,cold_temp
1773798846.8369,112335,133938,0.63605,75985.0,23.6,,89.41,0.0,24334.398822,146679.964376,0.201984,24369.579008,0.0,0.0,0.0,0.0,0.0,0.51539,cold_temp
1773798846.8569,112339,133979,0.631597,76026.0,23.6,,89.36,0.0,23822.215645,140508.975633,0.195834,23853.783776,0.0,0.0,0.0,0.0,0.0,0.519012,cold_temp
1773798846.877,112356,134014,0.627703,76061.0,23.6,,89.32,0.0,23332.821962,134155.705746,0.19017,23361.3519,0.0,0.0,0.0,0.0,0.0,0.52217,cold_temp
1773798846.897,112356,134067,0.624449,76114.0,23.6,,89.29,0.0,22866.953123,127770.105079,0.184941,22892.894747,0.0,0.0,0.0,0.0,0.0,0.524954,cold_temp
1773798846.9171,112375,134089,0.621357,76136.0,23.6,,89.25,0.0,22423.135216,121444.528505,0.180097,22446.853541,0.0,0.0,0.0,0.0,0.0,0.527422,cold_temp
1773798846.9372,112369,134103,0.61855,76150.0,23.6,,89.22,0.0,22000.385018,115257.009871,0.175598,22022.177335,0.0,0.0,0.0,0.0,0.0,0.529624,cold_temp
1773798846.9572,112411,134139,0.616214,76186.0,23.6,,89.2,0.0,21598.253766,109275.129519,0.171408,21618.361693,0.0,0.0,0.0,0.0,0.0,0.531604,cold_temp
1773798846.9773,112406,134181,0.614173,76228.0,23.6,,89.18,0.0,21215.695482,103539.241167,0.167496,21234.31915,0.0,0.0,0.0,0.0,0.0,0.533398,cold_temp
1773798846.9973,112406,134220,0.612319,76267.0,23.6,,89.16,0.0,20851.439799,98071.407128,0.163834,20868.747443,0.0,0.0,0.0,0.0,0.0,0.535029,cold_temp
1773798847.0174,112411,134248,0.610564,76295.0,23.6,,89.15,0.0,20504.116327,92880.276087,0.160397,20520.25131,0.0,0.0,0.0,0.0,0.0,0.536519,cold_temp
1773798847.0375,112447,134282,0.609019,76329.0,23.6,,89.13,0.0,20172.760485,87972.575119,0.157164,20187.844512,0.0,0.0,0.0,0.0,0.0,0.537887,cold_temp
1773798847.0575,112437,134319,0.607638,76366.0,23.6,,89.12,0.0,19856.389144,83347.251307,0.154117,19870.526493,0.0,0.0,0.0,0.0,0.0,0.539147,cold_temp
1773798847.0776,112458,134362,0.606428,76409.0,23.6,,89.11,0.0,19554.121531,78999.45873,0.151239,19567.401909,0.0,0.0,0.0,0.0,0.0,0.540313,cold_temp
1773798847.0976,112471,134385,0.605172,76432.0,23.6,,89.1,0.0,19264.734838,74913.543551,0.148515,19277.237661,0.0,0.0,0.0,0.0,0.0,0.541394,cold_temp
1773798847.1177,112487,134413,0.604055,76460.0,23.6,,89.09,0.0,18987.493252,71079.9723,0.145933,18999.287585,0.0,0.0,0.0,0.0,0.0,0.542399,cold_temp
1773798847.1377,112482,134421,0.602873,76468.0,23.6,,89.08,0.0,18721.366063,67481.248641,0.14348,18732.513801,0.0,0.0,0.0,0.0,0.0,0.543334,cold_temp
1773798847.1578,112474,134437,0.601836,76484.0,23.6,,89.07,0.0,18465.791708,64107.157458,0.141147,18476.346956,0.0,0.0,0.0,0.0,0.0,0.544207,cold_temp
1773798847.1779,112474,134448,0.600835,76495.0,23.6,,89.06,0.0,18220.076236,60943.653596,0.138924,18230.087201,0.0,0.0,0.0,0.0,0.0,0.545024,cold_temp
1773798847.1979,112509,134562,0.600694,76609.0,23.6,,89.07,0.0,17984.852422,58000.37656,0.136803,17994.356631,0.0,0.0,0.0,0.0,0.0,0.545801,cold_temp
1773798847.218,112467,134416,0.599742,76609.0,23.6,,89.06,0.0,17756.506311,55206.685501,0.134777,17767.17549,0.0,0.0,0.0,0.0,0.0,0.546548,cold_temp
1773798847.238,112459,134543,0.598831,76609.0,23.6,,89.04,0.0,17537.701381,52611.146866,0.132838,17548.070084,0.0,0.0,0.0,0.0,0.0,0.547235,cold_temp
1773798847.2581,112466,134533,0.597973,76609.0,23.6,,89.03,0.0,17326.408561,50171.777977,0.130982,17336.598968,0.0,0.0,0.0,0.0,0.0,0.547883,cold_temp
1773798847.2781,112462,134576,0.597269,76623.0,23.6,,89.03,0.0,17122.755197,47888.139814,0.129202,17132.488814,0.0,0.0,0.0,0.0,0.0,0.548492,cold_temp
1773798847.2982,112459,134623,0.596859,76670.0,23.6,,89.03,0.0,16926.347439,45749.649345,0.127492,16935.653493,0.0,0.0,0.0,0.0,0.0,0.549071,cold_temp
1773798847.3183,112462,134589,0.59613,76670.0,23.6,,89.02,0.0,16736.034917,43732.252187,0.12585,16745.254378,0.0,0.0,0.0,0.0,0.0,0.549624,cold_temp
1773798847.3383,112472,134625,0.595449,76672.0,23.6,,89.01,0.0,16552.145304,41839.556553,0.12427,16560.979966,0.0,0.0,0.0,0.0,0.0,0.550144,cold_temp
1773798847.3584,112467,134679,0.595202,76726.0,23.6,,89.02,0.0,16374.491474,40065.277089,0.122749,16382.963523,0.0,0.0,0.0,0.0,0.0,0.550642,cold_temp
1773798847.3784,112501,134733,0.59498,76780.0,23.6,,89.02,0.0,16202.741213,38400.599164,0.121282,16210.870987,0.0,0.0,0.0,0.0,0.0,0.55112,cold_temp
1773798847.3985,112526,134826,0.595081,76873.0,23.6,,89.03,0.0,16036.904432,36842.888874,0.119866,16044.708983,0.0,0.0,0.0,0.0,0.0,0.551582,cold_temp
1773798847.4186,112560,134823,0.594491,76873.0,23.6,,89.01,0.0,15875.904668,35370.860914,0.1185,15883.427184,0.0,0.0,0.0,0.0,0.0,0.552023,cold_temp
1773798847.4386,112587,134953,0.594896,77000.0,23.6,,89.03,0.0,15720.545095,33996.237203,0.117179,15727.774048,0.0,0.0,0.0,0.0,0.0,0.552453,cold_temp
1773798847.4587,112604,134998,0.594688,77045.0,23.6,,89.02,0.0,15569.885007,32700.528798,0.115901,15576.835604,0.0,0.0,0.0,0.0,0.0,0.552866,cold_temp
1773798847.4787,112639,135028,0.594386,77075.0,23.6,,89.01,0.0,15423.58933,31476.403365,0.114665,15430.276188,0.0,0.0,0.0,0.0,0.0,0.553264,cold_temp
1773798847.4988,112661,135106,0.594468,77153.0,23.6,,89.02,0.0,15281.804399,30324.6071,0.113467,15288.239367,0.0,0.0,0.0,0.0,0.0,0.55365,cold_temp
