timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773799326.9959,57922,57908,0.0,0.0,23.6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,cold_temp
1773799327.3485,74223,74341,0.248516,16433.0,23.6,,,0.0,8216.5,46604.039512,0.124258,8216.5,0.0,0.0,0.0,0.0,0.0,0.124258,cold_temp
1773799327.3686,90582,90883,0.443347,32975.0,23.6,,,0.0,13462.011894,69855.024046,0.181438,13462.011894,0.0,0.0,0.0,0.0,0.0,0.221429,cold_temp
1773799327.3886,107042,106956,0.594363,49048.0,23.6,,,0.0,18300.986544,93621.632152,0.22248,18300.986544,0.0,0.0,0.0,0.0,0.0,0.298272,cold_temp
1773799327.4087,115098,123462,0.722677,65554.0,23.6,,,0.0,23154.141375,119086.202677,0.25562,23154.141375,0.0,0.0,0.0,0.0,0.0,0.361614,cold_temp
1773799327.4288,115420,133314,0.770938,75406.0,23.6,,,0.0,26435.945628,141002.436847,0.270885,26435.945628,0.0,0.0,0.0,0.0,0.0,0.407958,cold_temp
1773799327.4488,115406,133552,0.735003,75644.0,23.6,,,0.0,27485.337368,154291.102317,0.268207,27485.337368,0.0,0.0,0.0,0.0,0.0,0.437331,cold_temp
1773799327.4689,115395,133544,0.708642,75644.0,23.6,,,0.0,27633.518709,161901.222337,0.260016,27634.488619,0.0,0.0,0.0,0.0,0.0,0.45752,cold_temp
1773799327.4889,115395,133549,0.689407,75644.0,23.6,,,0.0,27381.090388,165540.682051,0.250342,27382.153848,0.0,0.0,0.0,0.0,0.0,0.472247,cold_temp
1773799327.509,115392,133514,0.674777,75644.0,23.6,,89.15,0.0,26938.667365,166227.436468,0.240623,26942.565408,0.0,0.0,0.0,0.0,0.0,0.48348,cold_temp
1773799327.529,115390,133527,0.663253,75644.0,23.6,,89.04,0.0,26413.162827,164720.696232,0.231383,26418.12486,0.0,0.0,0.0,0.0,0.0,0.492317,cold_temp
