timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773931538.7164,57741,57815,0.0,0.0,22.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,cold_temp
1773931539.0707,74342,74277,0.249251,16462.0,22.0,,,0.0,8231.0,46458.694119,0.124625,8231.0,0.0,0.0,0.0,0.0,0.0,0.124625,cold_temp
1773931539.0908,90572,90797,0.443925,32982.0,22.0,,,0.0,13464.852056,69563.295973,0.181688,13464.852056,0.0,0.0,0.0,0.0,0.0,0.221832,cold_temp
1773931539.1108,107099,106918,0.595536,49103.0,22.0,,,0.0,18316.908683,93253.026568,0.222859,18316.908683,0.0,0.0,0.0,0.0,0.0,0.298802,cold_temp
1773931539.1309,111552,123526,0.724754,65711.0,22.0,,,0.0,23202.205866,118702.109179,0.256249,23202.205866,0.0,0.0,0.0,0.0,0.0,0.362334,cold_temp
1773931539.1509,111519,135423,0.790901,77608.0,22.0,,,0.0,26959.819596,142202.472856,0.275047,26959.819596,0.0,0.0,0.0,0.0,0.0,0.410809,cold_temp
1773931539.171,111534,135702,0.752575,77887.0,22.0,,,0.0,28211.545367,156617.825453,0.2735,28211.545367,0.0,0.0,0.0,0.0,0.0,0.441369,cold_temp
1773931539.1911,111522,135688,0.724407,77887.0,22.0,,,0.0,28456.405201,165037.055868,0.265646,28458.137896,0.0,0.0,0.0,0.0,0.0,0.462294,cold_temp
1773931539.2111,111508,135674,0.703925,77887.0,22.0,,,0.0,28250.465711,169254.910327,0.256007,28254.601961,0.0,0.0,0.0,0.0,0.0,0.477523,cold_temp
1773931539.2312,111472,135670,0.688358,77887.0,22.0,,90.43,0.0,27832.2651,170378.683942,0.246196,27838.256228,0.0,0.0,0.0,0.0,0.0,0.489102,cold_temp
1773931539.2512,111493,135644,0.676138,77887.0,22.0,,90.29,0.0,27313.620572,169153.857837,0.236812,27322.617531,0.0,0.0,0.0,0.0,0.0,0.498212,cold_temp
1773931539.2713,111473,135615,0.666295,77887.0,22.0,,90.17,0.0,26752.941209,166153.023905,0.228062,26765.740796,0.0,0.0,0.0,0.0,0.0,0.50557,cold_temp
1773931539.2913,111475,135630,0.65818,77887.0,22.0,,90.07,0.0,26183.689326,161855.979449,0.219989,26198.494543,0.0,0.0,0.0,0.0,0.0,0.511626,cold_temp
1773931539.3114,111465,135617,0.651386,77887.0,22.0,,89.99,0.0,25620.705226,156606.832472,0.212569,25637.559595,0.0,0.0,0.0,0.0,0.0,0.516705,cold_temp
1773931539.3315,111480,135657,0.645596,77887.0,22.0,,89.92,0.0,25075.076587,150735.808125,0.205753,25091.87389,0.0,0.0,0.0,0.0,0.0,0.521011,cold_temp
1773931539.3515,111446,135627,0.640623,77887.0,22.0,,89.85,0.0,24548.249357,144442.844977,0.199486,24566.014883,0.0,0.0,0.0,0.0,0.0,0.524724,cold_temp
1773931539.3716,111493,135667,0.636287,77887.0,22.0,,89.8,0.0,24044.854117,137957.305002,0.19371,24062.054452,0.0,0.0,0.0,0.0,0.0,0.527944,cold_temp
1773931539.3917,111470,135658,0.632483,77887.0,22.0,,89.75,0.0,23563.658454,131402.153833,0.188375,23580.611551,0.0,0.0,0.0,0.0,0.0,0.530771,cold_temp
1773931539.4117,111467,135670,0.629116,77887.0,22.0,,89.71,0.0,23105.084427,124902.967674,0.183433,23121.465606,0.0,0.0,0.0,0.0,0.0,0.53327,cold_temp
1773931539.4318,111433,135645,0.626121,77887.0,22.0,,89.67,0.0,22667.436558,118528.878637,0.178844,22683.921062,0.0,0.0,0.0,0.0,0.0,0.535501,cold_temp
1773931539.4518,111463,135663,0.623433,77887.0,22.0,,89.63,0.0,22250.900332,112361.074786,0.17457,22267.026953,0.0,0.0,0.0,0.0,0.0,0.537498,cold_temp
1773931539.4719,111432,135666,0.621007,77887.0,22.0,,89.6,0.0,21853.983081,106434.296581,0.170579,21869.710066,0.0,0.0,0.0,0.0,0.0,0.539298,cold_temp
1773931539.4919,111445,135653,0.618812,77887.0,22.0,,89.57,0.0,21475.24173,100769.482928,0.166843,21490.855644,0.0,0.0,0.0,0.0,0.0,0.540932,cold_temp
1773931539.512,111423,135603,0.616824,77887.0,22.0,,89.55,0.0,21112.940284,95370.191843,0.163339,21129.355792,0.0,0.0,0.0,0.0,0.0,0.542428,cold_temp
1773931539.5321,111387,135561,0.615014,77887.0,22.0,,89.52,0.0,20766.319974,90248.632533,0.160043,20784.137773,0.0,0.0,0.0,0.0,0.0,0.543804,cold_temp
1773931539.5521,111347,135480,0.613368,77887.0,22.0,,89.5,0.0,20433.848482,85394.585908,0.156937,20454.179752,0.0,0.0,0.0,0.0,0.0,0.54508,cold_temp
1773931539.5722,111339,135414,0.611863,77887.0,22.0,,89.48,0.0,20114.996116,80811.375477,0.154004,20138.518639,0.0,0.0,0.0,0.0,0.0,0.546266,cold_temp
1773931539.5922,111284,135315,0.610489,77887.0,22.0,,89.47,0.0,19808.528974,76483.639485,0.151229,19836.253048,0.0,0.0,0.0,0.0,0.0,0.547377,cold_temp
1773931539.6123,111264,135258,0.609225,77887.0,22.0,,89.45,0.0,19514.344237,72415.313604,0.148599,19546.543221,0.0,0.0,0.0,0.0,0.0,0.548415,cold_temp
1773931539.6323,111211,135163,0.608065,77887.0,22.0,,89.43,0.0,19231.253781,68585.290605,0.146101,19268.609153,0.0,0.0,0.0,0.0,0.0,0.549394,cold_temp
1773931539.6524,111191,135103,0.606993,77887.0,22.0,,89.42,0.0,18959.065511,64991.229491,0.143726,19001.727692,0.0,0.0,0.0,0.0,0.0,0.550315,cold_temp
1773931539.6724,111169,135067,0.605997,77887.0,22.0,,89.41,0.0,18697.410919,61625.444581,0.141464,18745.229096,0.0,0.0,0.0,0.0,0.0,0.55118,cold_temp
1773931539.6925,111158,135041,0.605068,77887.0,22.0,,89.39,0.0,18445.765864,58475.835478,0.139306,18498.493387,0.0,0.0,0.0,0.0,0.0,0.551993,cold_temp
1773931539.7126,111175,135033,0.604197,77887.0,22.0,,89.38,0.0,18203.711974,55531.793271,0.137245,18260.946672,0.0,0.0,0.0,0.0,0.0,0.552757,cold_temp
