timestamp,red_raw,ir_raw,ac_dc_ratio,peak_to_peak,t_room,hr,spo2_est,hr_std_5s,ir_std_5s,ir_slope,ac_dc_ratio_std,peak_to_peak_std,t_room_std_5s,dt_room,hr_valid,ir_drop,low_variation,p2p_cv,label
1773800347.9703,57877,57967,0.0,0.0,27.6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,good_contact
1773800348.3229,74247,74285,0.246771,16318.0,27.6,,,0.0,8159.0,46272.7367,0.123386,8159.0,0.0,0.0,0.0,0.0,0.0,0.123386,good_contact
1773800348.343,90893,90618,0.439507,32651.0,27.6,,,0.0,13329.715401,69219.577476,0.17988,13329.715401,0.0,0.0,0.0,0.0,0.0,0.21972,good_contact
1773800348.363,106963,106989,0.59446,49022.0,27.6,,,0.0,18268.568559,93215.427876,0.222133,18268.568559,0.0,0.0,0.0,0.0,0.0,0.297069,good_contact
1773800348.3831,119036,123393,0.72174,65426.0,27.6,,,0.0,23130.325148,118713.708708,0.255488,23130.325148,0.0,0.0,0.0,0.0,0.0,0.360543,good_contact
1773800348.4031,119405,139882,0.828632,81915.0,27.6,,,0.0,27972.759783,145941.877188,0.282584,27972.759783,0.0,0.0,0.0,0.0,0.0,0.41362,good_contact
1773800348.4232,119337,141638,0.797114,83671.0,27.6,,,0.0,29913.456957,163960.368582,0.285307,29913.456957,0.0,0.0,0.0,0.0,0.0,0.447762,good_contact
1773800348.4433,119411,141839,0.76542,83872.0,27.6,,,0.0,30523.101972,175059.902188,0.279112,30523.101972,0.0,0.0,0.0,0.0,0.0,0.47099,good_contact
1773800348.4633,119322,141660,0.741304,83872.0,27.6,,,0.0,30492.738304,181061.02984,0.269986,30511.385865,0.0,0.0,0.0,0.0,0.0,0.487834,good_contact
1773800348.4834,119416,141863,0.723158,83896.0,27.6,,89.66,0.0,30183.953138,183541.855389,0.260191,30199.206265,0.0,0.0,0.0,0.0,0.0,0.500496,good_contact
1773800348.5034,119341,141672,0.708904,83896.0,27.6,,89.51,0.0,29709.537455,183113.528235,0.250593,29736.013969,0.0,0.0,0.0,0.0,0.0,0.510475,good_contact
1773800348.5235,119436,141889,0.69756,83922.0,27.6,,89.39,0.0,29179.482259,180718.348899,0.241529,29202.123864,0.0,0.0,0.0,0.0,0.0,0.518434,good_contact
1773800348.5435,119334,141693,0.688151,83922.0,27.6,,89.29,0.0,28608.026589,176612.443302,0.233099,28638.137073,0.0,0.0,0.0,0.0,0.0,0.525034,good_contact
1773800348.5636,119438,141873,0.680215,83922.0,27.6,,89.21,0.0,28040.678793,171457.980856,0.225311,28067.909359,0.0,0.0,0.0,0.0,0.0,0.530496,good_contact
1773800348.5837,119322,141653,0.673562,83922.0,27.6,,89.14,0.0,27470.834795,165365.930449,0.218134,27504.860562,0.0,0.0,0.0,0.0,0.0,0.535192,good_contact
1773800348.6037,119385,141753,0.667814,83922.0,27.6,,89.08,0.0,26920.858794,158808.219291,0.211518,26956.455956,0.0,0.0,0.0,0.0,0.0,0.539199,good_contact
1773800348.6238,119230,141432,0.662922,83922.0,27.6,,89.02,0.0,26379.188534,151793.485465,0.205414,26426.673396,0.0,0.0,0.0,0.0,0.0,0.542759,good_contact
1773800348.6438,119292,141456,0.658626,83922.0,27.6,,88.98,0.0,25861.010255,144693.512168,0.199769,25917.413235,0.0,0.0,0.0,0.0,0.0,0.545874,good_contact
1773800348.6639,119070,140979,0.654958,83922.0,27.6,,88.94,0.0,25352.70235,137418.680296,0.194537,25429.328271,0.0,0.0,0.0,0.0,0.0,0.548735,good_contact
1773800348.684,119088,140921,0.651706,83922.0,27.6,,88.9,0.0,24867.426644,130290.612046,0.189676,24962.323789,0.0,0.0,0.0,0.0,0.0,0.551296,good_contact
1773800348.704,118935,140619,0.648864,83922.0,27.6,,88.87,0.0,24398.896582,123283.719654,0.185147,24515.864239,0.0,0.0,0.0,0.0,0.0,0.553652,good_contact
1773800348.7241,119003,140699,0.646283,83922.0,27.6,,88.85,0.0,23955.127966,116612.015096,0.180919,24089.163706,0.0,0.0,0.0,0.0,0.0,0.55576,good_contact
1773800348.7441,118858,140435,0.644001,83922.0,27.6,,88.82,0.0,23527.747792,110169.23338,0.17696,23681.305064,0.0,0.0,0.0,0.0,0.0,0.55772,good_contact
1773800348.7642,118966,140600,0.64189,83922.0,27.6,,88.8,0.0,23123.913001,104133.785172,0.173244,23291.314644,0.0,0.0,0.0,0.0,0.0,0.559475,good_contact
1773800348.7842,118854,140410,0.639997,83922.0,27.6,,88.78,0.0,22735.786659,98378.865718,0.16975,22918.208739,0.0,0.0,0.0,0.0,0.0,0.561112,good_contact
1773800348.8043,118996,140633,0.638218,83922.0,27.6,,88.76,0.0,22369.069417,93039.350272,0.166457,22561.02212,0.0,0.0,0.0,0.0,0.0,0.562578,good_contact
1773800348.8244,118882,140491,0.636605,83922.0,27.6,,88.75,0.0,22016.576478,87982.991402,0.163347,22218.824984,0.0,0.0,0.0,0.0,0.0,0.56395,good_contact
1773800348.8444,119039,140754,0.635069,83922.0,27.6,,88.73,0.0,21683.220303,83318.132837,0.160404,21890.732408,0.0,0.0,0.0,0.0,0.0,0.565178,good_contact
1773800348.8645,118924,140637,0.633665,83922.0,27.6,,88.72,0.0,21362.3448,78913.805681,0.157614,21575.909007,0.0,0.0,0.0,0.0,0.0,0.566333,good_contact
1773800348.8845,119094,140915,0.632316,83922.0,27.6,,88.7,0.0,21058.323912,74860.554523,0.154965,21273.570488,0.0,0.0,0.0,0.0,0.0,0.567367,good_contact
1773800348.9046,118987,140799,0.631077,83922.0,27.6,,88.69,0.0,20764.99063,71033.765949,0.152445,20982.983268,0.0,0.0,0.0,0.0,0.0,0.568347,good_contact
1773800348.9246,119133,141066,0.629881,83922.0,27.6,,88.68,0.0,20486.30352,67511.354625,0.150046,20703.462891,0.0,0.0,0.0,0.0,0.0,0.569226,good_contact
1773800348.9447,119227,141380,0.628716,83922.0,27.6,,88.66,0.0,20221.778215,64276.288077,0.147757,20434.371745,0.0,0.0,0.0,0.0,0.0,0.570008,good_contact
1773800348.9648,119083,141098,0.627662,83922.0,27.6,,88.65,0.0,19963.697689,61178.251523,0.14557,20175.116405,0.0,0.0,0.0,0.0,0.0,0.570777,good_contact
1773800348.9848,119246,141471,0.626623,83922.0,27.6,,88.64,0.0,19718.919078,58346.08705,0.143479,19925.144815,0.0,0.0,0.0,0.0,0.0,0.571454,good_contact
1773800349.0049,119282,141547,0.625634,83922.0,27.6,,88.63,0.0,19483.394811,55697.237383,0.141477,19683.943442,0.0,0.0,0.0,0.0,0.0,0.572082,good_contact
1773800349.0249,119295,141665,0.624687,83922.0,27.6,,88.62,0.0,19257.0128,53225.961959,0.139558,19451.034503,0.0,0.0,0.0,0.0,0.0,0.572661,good_contact
1773800349.045,119292,141621,0.623797,83922.0,27.6,,88.6,0.0,19037.626124,50890.472789,0.137716,19225.9733,0.0,0.0,0.0,0.0,0.0,0.573213,good_contact
1773800349.065,119289,141622,0.622956,83922.0,27.6,,88.59,0.0,18825.335068,48690.467563,0.135947,19008.345705,0.0,0.0,0.0,0.0,0.0,0.573735,good_contact
